:Andromeda
   0.9612091   22.6766319 1
   0.9614336   23.6766262 1
   0.9616043   24.4266243 1
   0.8945809   24.4293823 1
   0.8275661   24.4319324 1
   0.8277634   25.4319267 1
   0.8279639   26.4319229 1
   0.8281680   27.4319210 1
   0.8283757   28.4319172 1
   0.8285875   29.4319134 1
   0.8288034   30.4319077 1
   0.8290238   31.4319038 1
   0.8292490   32.4319000 1
   0.8294792   33.4318962 1
   0.8295376   33.6818962 1
   0.8967203   33.6793404 1
   0.9639109   33.6765747 1
   1.0310993   33.6736031 1
   1.0982752   33.6704254 1
   1.1654583   33.6670380 1
   1.2326388   33.6634483 1
   1.2998062   33.6596565 1
   1.3669807   33.6556625 1
   1.4341518   33.6514664 1
   1.5013094   33.6470680 1
   1.5264951   33.6453705 1
   1.5269367   34.6453514 1
   1.5273890   35.6453362 1
   1.5945902   35.6406670 1
   1.6617873   35.6357956 1
   1.7289701   35.6307335 1
   1.7961584   35.6254768 1
   1.8633423   35.6200294 1
   1.9305112   35.6143913 1
   1.9976853   35.6085625 1
   2.0648544   35.6025505 1
   2.1236167   35.5971375 1
   2.1242521   36.5971069 1
   2.1247394   37.3470840 1
   2.1919310   37.3407249 1
   2.2591064   37.3341827 1
   2.3262863   37.3274612 1
   2.3934596   37.3205605 1
   2.4606166   37.3134880 1
   2.5277772   37.3062439 1
   2.5949311   37.2988281 1
   2.6452894   37.2931557 1
   2.6460977   38.2931099 1
   2.6469288   39.2930603 1
   2.6477838   40.2930145 1
   2.6486645   41.2929649 1
   2.6495726   42.2929115 1
   2.6505101   43.2928581 1
   2.6514788   44.2928047 1
   2.6524811   45.2927475 1
   2.6535194   46.2926865 1
   2.6545966   47.2926292 1
   2.6557150   48.2925606 1
   2.6568780   49.2924957 1
   2.6580894   50.2924309 1
   2.6590319   51.0423737 1
   2.5915837   51.0499535 1
   2.5241244   51.0573578 1
   2.4566641   51.0645943 1
   2.3891830   51.0716553 1
   2.3216920   51.0785446 1
   2.2542005   51.0852509 1
   2.1866894   51.0917816 1
   2.1782534   51.0925827 1
   2.1772053   50.0926323 1
   2.1762002   49.0926781 1
   2.1752348   48.0927277 1
   2.1747661   47.5927505 1
   2.1073434   47.5990639 1
   2.0399125   47.6051941 1
   1.9724836   47.6111374 1
   1.9050370   47.6168938 1
   1.8375829   47.6224594 1
   1.7954293   47.6258430 1
   1.7962207   48.6258125 1
   1.7970439   49.6257782 1
   1.7979016   50.6257439 1
   1.7303469   50.6310043 1
   1.6627845   50.6360703 1
   1.5952250   50.6409416 1
   1.5276483   50.6456146 1
   1.4938624   50.6478767 1
   1.4262758   50.6522484 1
   1.3586829   50.6564217 1
   1.2910939   50.6603928 1
   1.2403936   50.6632347 1
   1.2397984   49.6632500 1
   1.2392272   48.6632690 1
   1.1716827   48.6668777 1
   1.1041336   48.6702805 1
   1.0365901   48.6734772 1
   0.9859245   48.6757393 1
   0.9854900   47.6757469 1
   0.9850718   46.6757545 1
   0.9175716   46.6785851 1
   0.8500678   46.6812057 1
   0.7825710   46.6836166 1
   0.7150610   46.6858139 1
   0.6475484   46.6878052 1
   0.5800435   46.6895790 1
   0.5125263   46.6911430 1
   0.4450073   46.6924934 1
   0.3774968   46.6936302 1
   0.3099749   46.6945534 1
   0.2762186   46.6949348 1
   0.2763196   47.6949348 1
   0.2764245   48.6949348 1
   0.2088388   48.6955376 1
   0.1412523   48.6959229 1
   0.1074640   48.6960373 1
   0.1074647   48.6960373 1
   0.0398779   48.6961021 1
  -0.0277004   48.6959496 1
  -0.0952854   48.6955833 1
  -0.1628723   48.6950035 1
  -0.2304478   48.6942101 1
  -0.2980309   48.6932030 1
  -0.3149281   48.6929169 1
  -0.3151093   49.6929131 1
  -0.3152962   50.6929131 1
  -0.3829365   50.6916351 1
  -0.4505825   50.6901436 1
  -0.5182266   50.6884384 1
  -0.5689545   50.6870193 1
  -0.5692844   51.6870155 1
  -0.5696297   52.6870079 1
  -0.5698071   53.1870041 1
:Antlia
  11.0986242  -35.6746559 1
  11.0983200  -36.6746483 1
  11.0980072  -37.6746407 1
  11.0976849  -38.6746330 1
  11.0973549  -39.6746292 1
  11.0971003  -40.4246216 1
  11.0297689  -40.4215088 1
  10.9624500  -40.4181862 1
  10.8951254  -40.4146614 1
  10.8278036  -40.4109306 1
  10.7604961  -40.4070015 1
  10.6931829  -40.4028664 1
  10.6258736  -40.3985291 1
  10.5585794  -40.3939934 1
  10.4912796  -40.3892632 1
  10.4239855  -40.3843346 1
  10.3567057  -40.3792076 1
  10.2894201  -40.3738937 1
  10.2221413  -40.3683815 1
  10.1548786  -40.3626862 1
  10.0876112  -40.3568001 1
  10.0203505  -40.3507271 1
   9.9531059  -40.3444672 1
   9.8858576  -40.3380280 1
   9.8186159  -40.3314095 1
   9.7513914  -40.3246117 1
   9.6841631  -40.3176384 1
   9.6169424  -40.3104897 1
   9.5497389  -40.3031693 1
   9.4825325  -40.2956810 1
   9.4489374  -40.2918739 1
   9.4497957  -39.2919197 1
   9.4506292  -38.2919693 1
   9.4514399  -37.2920151 1
   9.4520350  -36.5420494 1
   9.4528093  -35.5420914 1
   9.4535646  -34.5421333 1
   9.4543018  -33.5421791 1
   9.4550228  -32.5422173 1
   9.4557276  -31.5422573 1
   9.4564171  -30.5422993 1
   9.4570932  -29.5423374 1
   9.4577560  -28.5423756 1
   9.4584064  -27.5424118 1
   9.4590445  -26.5424480 1
   9.4596720  -25.5424843 1
   9.4602890  -24.5425186 1
   9.5105019  -24.5481949 1
   9.5774498  -24.5556126 1
   9.6444120  -24.5628624 1
   9.7113781  -24.5699406 1
   9.7783384  -24.5768433 1
   9.8453121  -24.5835705 1
   9.8450441  -25.0835571 1
