N4774 125306.6 +364908 15.0  8   0.6   0.4  90  43759 MCG 6-28-37           Kidney Bean Galaxy    
N4775 125345.9 -063722 11.8  8   2.2   2.1  75  43826 MCG -1-33-43          
N4776 125304.5 -091159 14.0  8   1.9   1.7   5  43754 NGC 4759A             
N4777 125358.5 -084631 14.5  8   1.9   0.8  15  43852 MCG -1-33-44          
N4778 125305.7 -091214 13.6  8   1.7   1.1 100  43757 NGC 4759B             
N4779 125350.7 +094233 13.0  8   2.1   1.8  70  43837 UGC 8022              
N4780 125405.2 -083715 14.1  8   1.8   1.5  18  43870 MCG -1-33-45          
N4780A125403.1 -083912 15.6  8   0.7   0.3  30                              
N4781 125423.6 -103210 11.8  8   3.4   1.4 120  43902 MCG -2-33-49          
N4782 125435.8 -123409 12.7  8   1.8   1.7 155  43924 MCG -2-33-50          
N4783 125436.4 -123329 12.7  8   2.3   1.3 105  43926 MCG -2-33-51          
N4784 125437.0 -103646 15.0  8   1.9   0.4 104  43929 MCG -2-33-53          
N4785 125327.1 -484459 13.2  8   2.0   1.0  81  43791 ESO 219-4             
N4786 125432.3 -065133 12.8  8   1.6   1.3 170  43922 MCG -1-33-46          
N4787 125405.8 +270406 15.5  8   1.1   0.3   2  43875 UGC 8026              
N4788 125416.2 +271811 15.4  8   0.8   0.3 141  43874 MCG 5-30-123          
N4789 125419.2 +270404 13.1  8   1.9   1.5 171  43895 UGC 8028              
N4789A125405.5 +270850 13.9  8   1.8   1.3  35  43869 UGC 8024              
N4790 125451.9 -101452 13.1  8   1.5   0.9  90  43972 MCG -2-33-56          
N4791 125443.9 +080313 14.9  8   1.3   0.9  70  43950 MCG 1-33-21           
N4792 125503.6 -122948 15.2  8   0.7   0.3 140  43999 NPM1G -12.0432        
N4793 125440.7 +285617 12.3  8   2.9   1.5  50  43939 UGC 8033              
N4794 125510.4 -123633 14.5  8   1.7   0.7 153  44012 MCG -2-33-60          
N4795 125502.8 +080358 13.1  8   2.3   1.6 118  43998 UGC 8037              
N4796 125504.6 +080401 15.5  8   0.4   0.3  90        NPM1G +08.0306        
N4797 125455.3 +272446 14.2  8   1.0   0.7  30  43981 NGC 4798              
N4798 125455.3 +272446 14.2  8   1.0   0.7  30  43981 NGC 4797              
N4799 125515.4 +025348 14.3  8   1.3   0.6  91  44017 UGC 8043              
N4800 125437.8 +463153 12.4  8   1.6   1.2  25  43931 UGC 8035              
N4801 125437.6 +530526 15.2  8   0.9   0.7 138  43946 MCG 9-21-60           
N4802 125549.6 -120317 12.6  8   2.4   1.6  20  44087 NGC 4804              
N4803 125533.7 +081424 15.4  8   0.5   0.3   6  44061 MCG 2-33-36           
N4804 125549.6 -120317 12.6  8   2.4   1.6  20  44087 NGC 4802              
N4805 125524.3 +275849       1   0.0   0.0   0                              
N4806 125612.4 -293010 13.4  8   1.2   1.0  50  44116 ESO 443-12            
N4807 125529.3 +273116 14.5  8   1.0   0.8  21  44037 UGC 8049              
N4807A125530.8 +273238 16.2  8   0.5   0.2 123                              
N4808 125548.9 +041813 12.3  8   2.8   1.1 127  44086 UGC 8054              
N4809 125450.9 +023910 14.6  8   1.7   0.7  68  43969 UGC 8034              
N4810 125451.2 +023827 14.9  8   1.3   0.5 162  43971 MCG 1-33-23           
N4811 125652.3 -414751 14.0  8   1.3   0.9  35  44201 ESO 323-47            
N4812 125652.6 -414849 14.2  8   1.2   0.4  36  44204 ESO 323-48            
N4813 125636.0 -064905 14.5  8   1.3   0.5  35  44160 MCG -1-33-55          
N4814 125521.8 +582040 12.5  8   3.3   2.4 129  44025 UGC 8051              
N4815 125758.3 -645742       3   5.0   0.0   0        OCL 893               
N4816 125612.3 +274443 13.9  8   1.3   1.1  84  44114 UGC 8057              
N4817 125629.6 +275625 15.7  8   0.5   0.5   0  83663 NPM1G +28.0248        
N4818 125648.9 -083130 12.1  8   4.3   1.5   0  44191 MCG -1-33-57          
N4819 125628.0 +265913 14.1  8   1.2   0.8 160  44144 UGC 8060              
N4820 125700.5 -134308 14.9  8   1.0   0.2 105  44227 MCG -2-33-67          
N4821 125629.3 +265725 15.5  8   0.5   0.3   5  44148 MCG 5-31-15           
N4822 125703.6 -104544 14.5  8   1.2   0.7  90  44236 MCG -2-33-69          
N4823 125725.6 -134154 15.6  8   0.7   0.2 175  44305                       
N4824 125636.2 +272601       1   0.0   0.0   0                              
N4825 125712.2 -133952 12.9  8   2.0   1.1 138  44261 MCG -2-33-70          
N4826 125643.8 +214059  9.3  8  10.0   5.4 115  44182                 M  64 Black-Eye Galaxy           
N4827 125643.7 +271043 13.9  8   1.4   1.2  48  44178 UGC 8065              
N4828 125642.8 +280115 15.6  8   0.7   0.7   0  44176 MCG 5-31-17           
N4829 125724.5 -134414 15.8  8   0.4   0.3 105  44299 NPM1G -13.0404        
N4830 125727.9 -194128 13.0  8   2.2   1.4 157  44313 ESO 575-37            
N4831 125736.6 -271731 13.4  8   1.7   0.9 178  44340 ESO 507-55            
N4832 125747.4 -394543 12.6  8   1.8   1.2  25  44361 ESO 323-51            
N4833 125935.0 -705227       4  14.0   0.0   0        GCL 21                
N4834 125625.1 +521745 15.6  8   0.9   0.3 108  44136 MCG 9-21-67           
N4835 125807.7 -461554 12.4  8   4.0   0.9 150  44409 ESO 269-19            
N4835A125713.0 -462238 14.1  8   2.5   0.4   0  44271 ESO 269-15            
N4836 125734.2 -124437 14.1  8   1.4   1.1   5  44328 MCG -2-33-72          
N4837 125647.8 +481746 14.4  8   1.1   0.5  70  44188 UGC 8068              
