#full_name,epoch_mjd,q,e,i,w,om,tp_cal,orbit_id,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class,K1,K2
"   48P/Johnson",56717,2.248872361926556,.3812385063810066,13.96682257238026,208.2784435313408,116.7657597518544,20111010.4129061,"JPL 56",,8.5,,5.74,,,,6.92899892960091,1.24442,JFc,15.0,
"   49P/Arend-Rigaux",56908,1.425645008009518,.6002741375112215,19.0561588304762,332.9187091007017,118.8320203776275,20111019.2912486,"JPL 69",,12.0,15.3,8.48,,0.028,,6.73568744437421,.466022,JFc,13.,5.
"   50P/Arend",54891,1.9237343967141360412398,0.5294720134830936952852,19.158363566038730141372,49.03440507779702,355.3246436489589,20071101.2162833,"JPL 42",,12.1,15.5,1.9,,,,8.26699505532759,.981863,JFc,14.,5.
"   51P/Harrington",54841,1.6879417413911270706705,0.5443258816987651682595,5.4282408847383782912743,269.1816230344729,83.77593916406661,20080618.4176655,"JPL K084/6",,12.3,15.1,4.8,,,,7.12956181766147,.694425,JFc,13.,5.
"   51P/Harrington-A",52320,1.56831729850035,0.562202360099426,8.65734616516824,233.646973634671,119.1719177421749,20010605.8342422,"JPL K013/32",,10.,15.,4.8,,,,6.78030105112394,.579778,JFc,15.0,15.0
"   52P/Harrington-Abell",56981,1.773109732844502,.5403891098664094,10.23159989032961,139.5984423127618,336.8516374874541,20140307.4987339,"JPL K145/7",,8.7,15.5,2.6,,,,7.5775037018532,.802185,JFc,22.,5.
"   53P/Van Biesbroeck",56720,2.431148664289406,.5508876254947508,6.606143076580348,134.1051911394794,148.9162002225548,20160430.1264020,"JPL 55",,7.5,,6.66,,,,12.5948484203581,1.41934,JFc,12.0,
"   54P/de Vico-Swift-NEAT",55013,2.1717640349767100005351,0.4270474945217546114406,6.0671607093682196065742,1.933331420129209,358.8600316230779,20091128.5701211,"JPL 22",,13.1,17.3,,,,,7.37987869257988,1.16881,JFc,14.,5.
"   55P/Tempel-Tuttle",51040,0.976427915467506,0.905552720972412,162.486575379434,172.5002736828059,235.270989149082,19980228.0977341,"JPL J985/69",Y,10.,16.,3.6,,0.06,,33.2417827583798,.00848081,HTC,25.0,10.0
"   56P/Slaughter-Burnham",53765,2.53496984065279,0.503671419439567,8.15569147183739,44.07798233672779,346.2636222792555,20050114.9297260,"JPL K053/30",,8.5,,3.12,,,,11.5428611343702,1.54627,JFc,15.0,
"   57P/duToit-Neujmin-Delporte",55440,1.724709431030119,.4998012080045604,2.848654636294081,115.3168891272439,188.8102656206689,20081225.8355381,"JPL 19",,13.8,,,,,,6.4027736901102,.711888,JFc,12.,
"   57P/duToit-Neujmin-Delporte-A",52640,1.72939044107225,0.499040120360139,2.84481020036925,115.2325343233014,188.9256753142995,20020731.1512416,"JPL K023/3",,8.5,16.,,,,,6.41421280698932,.714736,JFc,26.0,10.0
"   58P/Jackson-Neujmin",50160,1.38117347463859,0.661506727386572,13.4784074178521,200.3582618971439,160.714868044197,19951006.6141767,"JPL 6",,11.5,,,,,,8.24243409745619,.383542,JFc,25.0,
"   59P/Kearns-Kwee",55300,2.35521252462335,.4754287676142775,9.339898417963099,127.5232197137293,313.0323545748532,20090307.6523809,"JPL K084/11",,9.8,14.7,1.58,,,,9.51363861691776,1.38331,JFc,16.,5.
"   60P/Tsuchinshan 2",56080,1.618164050326832,.5384297030693533,3.610696486634454,216.3821697146897,267.6841949861678,20120513.5279823,"JPL K124/3",,11.5,,,,,,6.56425200029049,.636575,JFc,15.0,
"   61P/Shajn-Schaldach",55320,2.108384992119908,.4268951669033803,6.010511552651264,221.6907183654995,163.1076543116664,20080906.3079134,"JPL K083/1",,11.6,14.9,2.4,,,,7.05638015769091,1.11656,JFc,13.,5.
"   62P/Tsuchinshan 1",53560,1.48905166164978,0.57800841084276,10.5021442034695,22.86372369456345,96.74903768918099,20041207.9314513,"JPL K044/15",,8.0,,,,,,6.62852896118174,.510149,JFc,20.0,
"   63P/Wild 1",56717,1.950577151905188,.6509190323024351,19.77997964011996,169.0295202220291,358.0018642381609,20130410.8313401,"JPL 31",,8.,15.,2.9,,,,13.208808523438,.960345,JFc,15.0,5.0
"   64P/Swift-Gehrels",55320,1.377114100967353,.6897325315715446,8.949907082161364,96.32254809159546,300.7413749069658,20090614.3859669,"JPL 21",,10.1,13.9,3.2,,,,9.35101442486113,.425391,JFc,17.,5.
"   65P/Gunn",56981,2.8697662774533,.2607057268894698,9.236164787635726,211.0847397825086,64.26687291990494,20171005.5733455,"JPL K104/10",,7.9,11.9,10.8,,,,7.64807223514683,1.85719,JFc,12.,5.
"   66P/du Toit",52920,1.27426677532374,0.787701486880903,18.7007363185961,257.249719336475,22.21536497052719,20030827.9919205,"JPL 48",Y,12.,19.4,,,,,14.7054498017365,.430358,JFc,9.0,5.0
"   67P/Churyumov-Gerasimenko",56981,1.243241682517044,.6409739314162571,7.040200902346087,12.78560606538363,50.14210951437195,20150813.0718872,"JPL K084/21",Y,11.4,,4.0,,,12.76137,6.4439560639736,.257189,JFc,11.,
"   68P/Klemola",54801,1.7590187269943851067211,0.6406870098523979040194,11.143745927377530335888,153.9795052071384,175.331926501967,20090120.9746316,"JPL 30",,10.2,14.3,4.4,,,,10.8318969402737,.754841,JFc,15.,5.
"   69P/Taylor",55960,2.272847922482353,.4144624763356466,22.04601570933275,343.4481373761716,104.8809593923122,20110717.5587371,"JPL K113/3",,5.0,,,,,,7.64771458294199,1.29661,JFc,20.0,
"   70P/Kojima",56978,2.006778434237674,.4540851064582742,6.600353828243204,1.986811358483937,119.2725986096684,20141020.7567033,"JPL 31",,11.0,14.8,3,,,,7.04806541030448,1.02214,JFc,15.,5.
"   71P/Clark",56364,1.569273207253645,.498175178622493,9.480042735852868,208.9003484420799,59.61171339684534,20111215.9178898,"JPL K114/5",,11.3,14.8,1.36,,,,5.53003441635884,.560702,JFc,13.,5.
"   72P/Denning-Fujikawa",56981,.7841612055380167,.8191545266363583,9.169283869658974,337.8580424566273,36.10919645775216,20140711.6372194,"JPL 21",Y,15.5,,,,,,9.02931423648274,.0852532,JFc,25.0,
"   73P/Schwassmann-Wachmann 3",50080,0.932770792550057,0.694826910615125,11.4234875959962,198.7699786740593,69.94634151096726,19950922.8898591,"JPL J954/19",Y,12.,15.,,,,,5.34381308471953,.0451984,JFc,15.0,10.0
