131855.306+0.0048-231017.63-0.044 3.3G5                 :gamma Hydrae  			   
085523.629-0.0066+055643.80+0.013 3.3K0                 :zeta Hydrae  			   
104937.497+0.0066-161137.16+0.201 3.3K0                 :nu Hydrae  			   
161819.283+0.0056-044132.92+0.042 3.3K0 Yed Posterior   :epsilon Ophiuchi  		   
174951.536+0.0045-370235.68+0.035 3.3K2                        				   
050527.645+0.0017-222215.56-0.071 3.3K5                 :epsilon Leporis  		   
092103.292-0.0180+342333.16+0.018 3.3K5                 :alpha Lynx  			   
072913.877-0.0047-431805.26+0.188 3.3K5                 :sigma Puppis  			   
111414.403-0.0042+152546.42-0.078 3.4A0 Chertan         :theta Leonis 			   
201118.288+0.0026-004917.27+0.005 3.4A0                 :theta Aquilae 			   
025815.661-0.0043-401816.53+0.023 3.4A2 Acamar          :theta Eridani 			   
121525.570+0.0128+570157.35+0.009 3.4A2 Megrez          :delta Ursa Majoris  		   
133441.593-0.0189-003545.67+0.039 3.4A2 Heze            :zeta Virginis  		   
025815.691-0.0039-401816.98+0.019 3.4A2                        				   
052428.638+0.0001-022349.38+0.000 3.4B1                        				   
152122.330-0.0013-403851.65-0.029 3.4B2                        				   
015423.710+0.0048+634012.27-0.021 3.4B3 Navi            :epsilon Cassiopeiae  		   
145909.698-0.0016-420615.30-0.024 3.4B3                 :kappa Centauri  		   
172200.585-0.0003-245958.22-0.019 3.4B3                 :theta Ophiuchi 		   
192529.897+0.0171+030653.21+0.082 3.4F0                 :delta Aquilae  		   
144230.397-0.0303-645830.70-0.234 3.4F0                 :alpha Circini  		   
171209.212+0.0023-431420.78-0.285 3.4F2                 :eta Scorpii  			   
064517.360-0.0079+125343.98-0.192 3.4F5                 :xi Geminorium  		   
041425.509+0.0067-622825.60+0.048 3.4G5                 :alpha Reticuli  		   
165740.096-0.0198+092230.12-0.010 3.4K0                 :kappa Ophiuchi  		   
182118.595-0.0366-025355.68-0.700 3.4K0                 :eta Serpentis  		   
211256.182+0.0000+301337.07-0.056 3.4K0                 :zeta Cygni  			   
233920.864-0.0205+773756.56+0.149 3.4K0 Er Rai          :gamma Cephei  			   
190656.414-0.0040-274013.53-0.250 3.4K0                        				   
010605.044-0.0026-464307.30-0.001 3.4K0                        				   
171502.840-0.0021+364833.11+0.005 3.4K5                 :pi Herculis  			   
012821.953-0.0012-431905.63-0.208 3.4K5                 :gamma Phoenicis  		   
101704.917-0.0040-611956.32+0.006 3.4K5                        				   
150404.215-0.0054-251655.14-0.043 3.4M3                 :sigma Librae  			   
043359.821+0.0064-550242.14-0.003 3.5A0p                :alpha Doradus  		   
101705.799-0.0149+425451.78-0.038 3.5A2 Tania Borealis  :lambda Ursa Majoris  		   
225439.019-0.0027-154914.95-0.025 3.5A2 Skat            :delta Aquarii  		   
172523.625-0.0003-562239.41-0.012 3.5B1                        				   
134930.313-0.0019-414115.82-0.021 3.5B2                        				   
190614.938-0.0012-045257.01-0.088 3.5B9 Al Thalimain    :lambda Aquilae  		   
072007.366-0.0019+215856.39-0.011 3.5F0 Wasat           :delta Geminorium  		   
050158.140+0.0000+434923.70-0.005 3.5F5pMaaz            :epsilon Aurigae  		   
084646.587-0.0127+062507.53-0.051 3.5F8                        				   
083015.883-0.0180+604305.47-0.107 3.5G0 Muscida         :omicron Ursa Majoris  		   
074917.657-0.0002-245135.24-0.001 3.5G0pAsmidiske       :xi Puppis  			   
174627.574-0.0228+274314.60-0.748 3.5G5                 :mu Herculis  			   
151530.171+0.0069+331853.28-0.112 3.5K0                 :delta Bootis  			   
152455.758-0.0012+585757.71+0.016 3.5K0 Edasich         :iota Draconis  		   
175901.608-0.0003-094625.20-0.117 3.5K0                 :nu Ophiuchi  			   
140622.294+0.0032-264056.58-0.140 3.5K0                 :pi Hydrae  			   
151217.128-0.0119-520556.96-0.068 3.5K0                 :zeta Lupi  			   
003919.704+0.0107+305139.69-0.089 3.5K2                 :delta Andromedae  		   
132942.788-0.0040-231652.57+0.016 3.5M7e                       				   
171438.882-0.0004+142325.25+0.036 3.5Mb                        				   
230155.270+0.0021+421933.65-0.005 3.6+++                :omicron Andromedae  		   
154937.220-0.0058-032548.94-0.026 3.6A0                 :mu Serpentis  			   
100719.951-0.0001+164545.50-0.001 3.6A0p                :eta Leonis  			   
140423.349-0.0083+642233.02+0.018 3.6A0pThuban          :alpha Draconis  		   
024318.048-0.0095+031408.55-0.152 3.6A2                        				   
065247.338-0.0002+335740.38-0.049 3.6A2                 :theta Geminorium 		   
