    0 1 12 22.4 +58 05  8.4 M  40 
    0 3 03 47.0 +24 07  1.6 M  45 Pleiades 
    0 3 18 16.9 -18 29  4.6 M  24 
    0 8 15 06.5 +55 46  9.9 M 102 
  255 8  0 47.8 -11 28 11.8 
  256 5  0 45.9 -73 30 12.0 
  257 8  0 48.1 +08 19 14.0 
  258 8  0 48.2 +27 38 15.0 
  259 8  0 48.1 -02 47      
  260 8  0 48.6 +27 42 14.0 
  261 5  0 46.5 -73 07      
  262 8  0 48.8 +31 57 15.0 
  263 8  0 48.9 -13 06 14.0 
  264 8  0 48.3 -38 14      
  265 4  0 47.6 -73 29 12.0 
  266 8  0 49.8 +32 16 13.0 
  267 5  0 48.0 -73 17      
  268 8  0 50.2 -05 12 13.0 
  269 4  0 48.5 -73 32 12.0 
  270 8  0 50.7 -08 39 13.0 
  271 8  0 50.8 -01 53 13.0 
  272 3  0 51.4 +35 50      
  273 8  0 50.8 -06 53 13.0 
  274 8  0 51.0 -07 03 13.0 
  275 8  0 51.1 -07 04 12.5 
  276 8  0 52.1 -22 41 14.0 
  277 8  0 51.5 -08 35 13.0 
  278 8  0 52.1 +47 33 10.9 
  279 8  0 52.3 -02 12 14.0 
  280 8  0 52.5 +24 20 14.0 
  281 5  0 52.8 +56 37  7.0 
  282 8  0 52.8 +30 37 14.0 
  283 8  0 53.3 -13 11 14.0 
  284 8  0 53.6 -13 09 15.0 
  285 8  0 53.7 -13 10      
  286 8  0 53.6 -13 06 14.0 
  287 8  0 53.6 +32 29 15.0 
  288 4  0 52.8 -26 35  8.1 
  289 8  0 52.7 -31 12 12.0 
  290 3  0 51.3 -73 09 12.0 
  291 8  0 53.6 -08 45 14.0 
  292 8  0 52.8 -72 50      
  293 8  0 54.3 -07 14 14.0 
  294 5  0 52.1 -73 21      
  295 8  0 55.2 +31 31 13.0 
  296 8  0 55.4 +31 40 15.0 
  297 1  0 55.0 -07 21      
  298 8  0 55.0 -07 21 13.0 
  299 5  0 54.0 -72 10 11.0 
  300 8  0 54.9 -37 41  9.0 
  301 8  0 56.3 -10 40      
  302 1  0 56.4 -10 39      
  303 8  0 54.8 -16 40      
  304 8  0 56.1 +24 07 14.0 
  305 1  0 56.0 +12 06      
  306 5  0 54.9 -72 13 12.0 
  307 8  0 56.6 -01 46 14.0 
  308 1  0 56.4 -01 47      
  309 8  0 56.7 -09 55 11.8 
  310 1  0 56.9 -01 46      
  311 8  0 57.6 +30 16 14.0 
  312 8  0 56.3 -52 47      
  313 8  0 57.8 +30 21 12.0 
  314 8  0 56.9 -31 58      
  315 8  0 57.8 +30 21 13.0 
  316 8  0 57.8 +30 21 12.0 
  317 8  0 57.6 +43 47 15.0 
  318 8  0 58.1 +30 25 15.0 
  319 8  0 57.0 -43 50      
  320 8  0 58.8 -20 50 15.0 
  321 8  0 57.4 -05 02      
  322 8  0 57.2 -43 44      
  323 8  0 56.7 -52 59      
  324 8  0 58.6 -40 30      
  325 8  0 57.9 -05 08 16.0 
  326 8  0 58.4 +26 52 13.2 
  327 8  0 57.9 -05 08 13.0 
  328 8  0 57.0 -52 55      
  329 8  0 58.0 -05 04 13.0 
  330 3  0 56.2 -72 29  9.6 
  332 8  0 58.8 +07 06 15.0 
  333 8  0 58.8 -16 29 16.0 
  334 8  0 58.8 -35 08      
  335 8  0 59.3 -18 14      
  336 8  0 58.8 -18 46 12.0 
  337 8  0 59.8 -07 35 11.6 
  338 8  1 00.6 +30 39 14.0 
  339 4  0 57.7 -74 29 11.9 
  340 8  1 00.6 -06 53 14.0 
  341 8  1 00.8 -09 11 13.0 
  342 8  1 00.8 -06 47 14.0 
  343 1  1 00.8 -23 14      
  344 8  1 01.6 -23 16      
  345 8  1 01.4 -06 54 13.0 
  346 5  0 59.1 -72 11 10.3 
  347 8  1 01.4 -06 49 14.0 
  348 8  1 00.9 -53 15      
  349 8  1 01.9 -06 49 13.0 
  350 8  1 02.0 -06 49 15.0 
  351 8  1 02.1 -01 55 14.0 
  352 8  1 02.1 -04 15 13.0 
  353 8  1 02.6 -01 56 14.0 
  354 8  1 03.3 +22 20 14.0 
  355 8  1 03.2 -06 20 15.0 
  356 8  1 03.3 -07 00 13.0 
  357 8  1 03.4 -06 20 11.8 
  358 1  1 05.2 +62 02      
  359 8  1 04.4 -00 45 15.0 
  360 8  1 02.9 -65 37      
  361 4  1 02.2 -71 33 11.8 
  362 4  1 03.2 -70 51  6.6 
  363 8  1 06.1 -16 34 15.0 
  364 8  1 04.6 -00 51 14.0 
  365 8  1 04.1 -35 07      
  366 3  1 06.4 +62 14      
  368 8  1 04.4 -43 16      
  369 8  1 05.1 -17 45      
  371 3  1 03.3 -72 05      
  372 1  1 06.7 +32 26      
  373 8  1 07.0 +32 18      
  374 8  1 07.1 +32 46 14.0 
  375 8  1 07.1 +32 21 16.0 
  377 1  1 06.3 -20 03      
  378 8  1 06.2 -30 11 14.0 
  379 8  1 07.3 +32 31 12.6 
  380 8  1 07.3 +32 29 12.5 
  381 3  1 08.3 +61 35  9.0 
  382 8  1 07.4 +32 24 14.0 
  383 8  1 07.4 +32 25 11.9 
  384 8  1 07.4 +32 18 13.0 
  385 8  1 07.4 +32 19 12.9 
  386 8  1 07.5 +32 22 14.1 
  387 8  1 07.5 +32 23      
  388 8  1 07.8 +32 19 14.3 
  389 8  1 08.5 +39 42 15.0 
  390 8  1 08.1 +32 27      
  391 8  1 07.5 +00 56 14.0 
  392 8  1 08.4 +33 07 14.0 
  393 8  1 08.6 +39 40 13.0 
  394 8  1 08.4 +33 08 15.0 
  396 8  1 08.0 +04 32      
  397 8  1 08.5 +33 06 15.0 
  398 8  1 08.8 +32 30 15.0 
  399 8  1 09.0 +32 37 14.0 
  403 8  1 09.2 +32 45 13.0 
  404 8  1 09.4 +35 43 10.1 
  405 1  1 08.3 -46 40      
  406 8  1 07.4 -69 53 12.0 
  407 8  1 10.6 +33 07 14.0 
  408 8  1 10.9 +33 06      
  409 8  1 09.5 -35 48      
  410 8  1 11.0 +33 09 13.0 
  413 8  1 09.5 -02 50 16.0 
  414 8  1 11.3 +33 06 14.0 
  415 8  1 10.2 -35 29      
  416 4  1 08.1 -72 21 11.0 
  417 8  1 11.1 -18 10 15.0 
  418 8  1 10.6 -30 13 13.0 
  419 4  1 08.3 -72 53 10.0 
  420 8  1 12.1 +32 06 13.0 
  423 8  1 11.4 -29 13 14.0 
  424 8  1 11.5 -38 05      
  425 8  1 13.0 +38 48 13.0 
  426 8  1 12.9 -00 17 14.0 
  427 8  1 12.5 -32 03 15.0 
  428 8  1 12.9 +00 59 11.4 
  429 8  1 13.0 -00 20 14.0 
  430 8  1 13.1 -00 15 13.0 
  431 8  1 14.2 +33 44 14.0 
  432 8  1 11.8 -61 32      
  433 3  1 15.3 +60 08      
  434 8  1 12.2 -58 15 13.0 
  435 8  1 14.0 +02 04 15.0 
  436 3  1 15.6 +58 49  8.8 
  437 8  1 14.4 +05 56 14.0 
  438 8  1 13.4 -37 56      
  439 8  1 13.8 -31 45 13.0 
  440 8  1 12.9 -58 17      
  441 8  1 14.0 -31 47 14.0 
  442 8  1 14.6 -01 01 15.0 
  443 8  1 15.1 +33 23 14.0 
  444 8  1 15.9 +31 05 14.0 
  445 8  1 14.9 +01 56 15.0 
  446 8  1 14.9 +04 11 15.0 
  447 8  1 15.6 +33 04 14.0 
  448 8  1 15.3 -01 37 13.0 
  449 8  1 16.1 +33 05 14.3 
  450 8  1 15.5 -00 52 12.1 
  451 8  1 16.2 +33 04 15.0 
  452 8  1 16.3 +31 02 14.0 
  453 1  1 16.3 +33 05      
  454 8  1 14.4 -55 24      
  455 8  1 16.0 +05 11 14.0 
  456 5  1 14.4 -73 17      
  457 3  1 19.1 +58 20  6.4 
  459 8  1 18.0 +17 33 15.0 
  460 5  1 14.8 -72 18      
  461 8  1 17.3 -33 50      
  462 8  1 18.1 +04 14      
  463 8  1 18.9 +16 19 15.0 
  464 8  1 19.0 +34 58      
  465 3  1 15.5 -73 20      
  466 8  1 17.2 -58 55      
  467 8  1 19.2 +03 18 11.9 
  468 8  1 19.8 +32 47 15.0 
  469 8  1 19.4 +14 53 15.0 
  470 8  1 19.7 +03 25 11.9 
  471 8  1 19.9 +14 47 14.0 
  472 8  1 20.5 +32 43 14.0 
  473 8  1 19.9 +16 33 13.0 
  474 8  1 20.1 +03 25 11.1 
  475 8  1 20.0 +14 51      
  476 8  1 20.2 +16 01 15.0 
  477 8  1 21.3 +40 29 14.0 
  478 8  1 20.2 -22 22 15.0 
  479 8  1 21.3 +03 52 15.0 
  481 8  1 21.0 -09 12 14.0 
  482 8  1 20.3 -40 57      
  483 8  1 22.0 +33 32 14.0 
  484 8  1 19.6 -58 31      
  485 8  1 21.4 +07 01 14.0 
  486 8  1 22.1 +05 24 15.0 
  487 8  1 21.8 -16 21 14.0 
  488 8  1 21.8 +05 15 10.3 
  489 8  1 21.8 +09 12 13.0 
  490 8  1 22.1 +05 22 15.0 
  491 8  1 21.4 -34 03 13.0 
  492 8  1 22.2 +05 25 15.0 
  493 8  1 22.2 +00 57 12.5 
  494 8  1 23.0 +33 11 14.0 
  495 8  1 22.9 +33 28 13.2 
  496 8  1 23.3 +33 33 14.0 
  497 8  1 22.4 -00 53 14.0 
  498 8  1 23.3 +33 30 16.0 
  499 8  1 23.2 +33 28 12.0 
  500 8  1 22.7 +05 24 15.0 
  501 8  1 23.4 +33 27 15.0 
  502 8  1 22.8 +09 03 14.0 
  503 8  1 23.5 +33 21 15.0 
  504 8  1 23.5 +33 13 14.0 
  505 8  1 22.9 +09 28 15.0 
  507 8  1 23.7 +33 15 11.2 
  508 8  1 23.7 +33 17 12.8 
  509 8  1 23.4 +09 26 15.0 
  510 8  1 23.7 +33 26      
  511 8  1 23.5 +11 17 15.0 
  512 8  1 24.0 +33 55 14.0 
  513 8  1 23.8 +33 49 13.0 
  514 8  1 24.1 +12 55 11.9 
  515 8  1 24.6 +33 29 14.0 
  516 8  1 24.1 +09 33 14.0 
  517 8  1 24.7 +33 27 13.0 
  518 8  1 24.3 +09 20 14.0 
  519 8  1 24.5 -01 38      
  520 8  1 24.6 +03 48 11.2 
  521 8  1 24.6 +01 44 13.0 
  522 8  1 24.8 +10 00 14.0 
  523 8  1 25.3 +34 02 14.0 
  524 8  1 24.8 +09 32 10.6 
  525 8  1 24.8 +09 42 14.0 
  526 8  1 23.9 -35 03      
  527 8  1 24.0 -35 06      
  528 8  1 25.5 +33 41 13.0 
  529 8  1 25.7 +34 44 13.0 
  530 8  1 24.7 -01 35 14.0 
  531 8  1 26.3 +34 45 15.0 
  532 8  1 25.3 +09 16 14.0 
  533 8  1 25.5 +01 46 13.0 
  534 8  1 24.6 -38 07      
  535 8  1 25.5 -01 25 15.0 
  536 8  1 26.4 +34 43 13.0 
  538 8  1 25.4 -01 33 15.0 
  539 8  1 25.3 -18 09 14.0 
  540 8  1 27.1 -20 02      
  541 8  1 25.7 -01 23 12.0 
  542 8  1 26.5 +34 41 15.0 
  543 8  1 25.8 -01 18 13.3 
  544 8  1 25.1 -38 05      
  545 8  1 26.0 -01 20 14.0 
  546 8  1 25.1 -38 03      
  547 8  1 26.0 -01 21 12.3 
  548 8  1 26.0 -01 14      
  549 8  1 25.5 -38 16      
  550 8  1 26.7 +02 01 14.0 
  551 8  1 27.6 +37 11 13.0 
  554 8  1 27.2 -22 43 15.0 
  555 8  1 27.2 -22 45 15.0 
  557 8  1 26.5 -01 38 15.0 
  558 8  1 27.3 -01 58      
  559 3  1 29.5 +63 18  9.5 
  560 8  1 27.4 -01 55 12.9 
  561 8  1 28.2 +34 19 14.0 
  562 8  1 28.4 +48 23 15.0 
