230338.215+0.0028-264845.70+0.031 6.9M0                 
050301.996+0.0000-422953.49-0.030 6.9M0                 
054729.497-0.0001-413525.81-0.022 6.9M0                 
151846.072-0.0003-542149.80+0.011 6.9M0                 
180906.332+0.0011+310116.10+0.006 6.9M3e                
230639.082-0.0002+103233.58-0.036 6.9M7e                
214038.901-0.0034+541929.41-0.005 6.9M8e                
192225.703+0.0005-315612.13-0.008 6.9Ma                 
163708.394-0.0015-522256.13-0.054 6.9Ma                 
110016.007-0.0040-573337.96+0.001 6.9Ma                 
132305.570-0.0003+470006.46+0.012 6.9Mb                 
171946.479+0.0015+020821.59+0.018 6.9Mb                 
231008.883+0.0021+334603.43-0.042 6.9Mb                 
231114.126+0.0008+050014.71-0.008 6.9Mb                 
051436.916+0.0006-003346.33-0.005 6.9Mb                 
072843.443-0.0052+475513.71-0.083 6.9Mb                 
200039.843-0.0048-493631.96+0.000 6.9Mb                 
141944.392+0.0009-365131.83-0.043 6.9Mb                 
134113.919-0.0048-715205.93+0.035 6.9Mb                 
152013.016-0.0056-572353.10-0.038 6.9Mb                 
072811.649-0.0004+455927.07+0.002 6.9Mb                 
231304.975-0.0011+085748.73+0.003 6.9Mb                 
011605.013-0.0006+254608.83-0.012 6.9N0                 
000115.633-0.0004+602119.17-0.004 6.9N0                 
154931.458+0.0022+393419.41+0.001 6.9N3e                
162643.824+0.0008-122537.46-0.008 6.9N3e                
045113.384-0.0003+681008.92+0.008 6.9Nb                 
081403.866+0.0009-365709.59-0.016 6.9Oe5                
180223.534+0.0002-230149.66+0.010 6.9Oe5                
223627.437-0.0014+582535.23+0.014 6.9Pec                
005605.909+0.0001+402814.78-0.027 7.0                   
153329.076-0.0048+355541.45-0.044 7.0   
080435.889+0.0010+534042.60-0.010 7.0+++
135238.836-0.0030-184230.14+0.028 7.0+++
194524.221-0.0014+235632.03-0.026 7.0+++
202425.700+0.0001+241639.81+0.013 7.0+++
204759.503-0.0009+391715.37-0.009 7.0+++
003548.767+0.0005+490115.26-0.014 7.0+++
180854.643+0.0015-295933.53+0.007 7.0+++
034825.033+0.0042-541738.80+0.002 7.0+++
103543.264-0.0068-581445.30-0.022 7.0   
142237.506-0.0053-582742.82+0.013 7.0   
113545.004-0.0003-613440.46+0.009 7.0   
183356.270+0.0021+662123.00-0.041 7.0A0 
175401.434+0.0013+423849.15+0.000 7.0A0 
203707.926-0.0008+363502.75-0.020 7.0A0 
050033.351+0.0002+363738.28-0.006 7.0A0 
043650.691+0.0034+372621.92-0.016 7.0A0 
120010.073+0.0011+364347.73+0.010 7.0A0 
073013.567-0.0032+405044.34-0.043 7.0A0 
005132.746+0.0016-030836.83-0.023 7.0A0 
074542.828-0.0011-054042.59+0.000 7.0A0 
010031.573+0.0031+374728.88-0.001 7.0A0 
092147.938-0.0304+883413.16+0.012 7.0A0 
093657.041+0.0000+230152.05+0.004 7.0A0 
094606.825-0.0024-194340.13+0.016 7.0A0 
094843.558-0.0012-095507.55-0.009 7.0A0 
095322.012+0.0003-095413.59-0.006 7.0A0 
010822.633+0.0015+541354.84+0.008 7.0A0 
100408.361-0.0001+113742.82+0.007 7.0A0 
101223.777-0.0024-150403.96+0.002 7.0A0 
010951.908-0.0002+490315.52-0.003 7.0A0 
104658.465-0.0024-154354.65+0.000 7.0A0 
113131.801-0.0003+174459.23-0.032 7.0A0 
114444.038+0.0000+284013.33+0.028 7.0A0 
122632.614+0.0015+550934.84+0.018 7.0A0 
124332.929-0.0031-135134.20-0.020 7.0A0 
013623.459+0.0036+673654.75+0.001 7.0A0 
143708.655-0.0042+355546.25-0.012 7.0A0 
014203.987+0.0011+433824.64-0.001 7.0A0 
153731.353+0.0008-220656.96+0.039 7.0A0 
154030.232-0.0012+370101.20-0.007 7.0A0 
155708.852+0.0024-061746.87+0.008 7.0A0 
160413.540-0.0020+341042.84+0.007 7.0A0 
161504.269-0.0015-014629.84-0.023 7.0A0 
165207.804+0.0022-024752.86+0.014 7.0A0 
171117.658+0.0015+514514.48-0.006 7.0A0 
015637.565+0.0004+531816.39-0.007 7.0A0 
171857.275-0.0036+704715.55+0.017 7.0A0 
001320.622+0.0051+494323.74-0.013 7.0A0 
175213.326-0.0004+320049.76-0.005 7.0A0 
180321.086+0.0006+082508.66-0.008 7.0A0 
184018.813-0.0001+120314.37-0.019 7.0A0 
184543.756+0.0002+112948.25-0.016 7.0A0 
184636.681+0.0012-080710.64+0.006 7.0A0 
184645.989+0.0023+674614.99-0.017 7.0A0 
184911.119+0.0003+143929.60-0.008 7.0A0 
185901.378+0.0012-123516.49-0.003 7.0A0 
190312.938+0.0007-111121.96-0.020 7.0A0 
191352.568+0.0000+362528.33+0.008 7.0A0 
192933.928+0.0018-152133.00-0.012 7.0A0 
193022.184-0.0002+164239.74-0.002 7.0A0 
194005.211+0.0021-140240.02-0.016 7.0A0 
021657.307+0.0000-063442.26-0.007 7.0A0 
200108.148+0.0001+143123.21-0.005 7.0A0 
200151.396+0.0015+405131.84+0.001 7.0A0 
200745.463-0.0003+574800.01-0.012 7.0A0 
203046.147+0.0009-154617.05+0.006 7.0A0 
203401.925+0.0022-122037.53-0.010 7.0A0 
203748.906+0.0007-170719.00+0.000 7.0A0 
204202.386+0.0023+311843.91+0.026 7.0A0 
211948.820+0.0034-140101.50+0.017 7.0A0 
212320.752-0.0015+443105.20-0.014 7.0A0 
212157.988-0.0026+720332.42-0.020 7.0A0 
001557.260+0.0010+041503.75-0.018 7.0A0 
023425.881+0.0017+113615.67-0.048 7.0A0 
220412.853+0.0009+595201.24-0.002 7.0A0 
220809.095+0.0024+173329.49-0.016 7.0A0 
220714.439+0.0025+704142.33+0.045 7.0A0 
220710.840+0.0176+722221.47+0.037 7.0A0 
221712.089+0.0017+660744.23+0.013 7.0A0 
223833.593+0.0012+444007.51-0.015 7.0A0 
225603.391+0.0023+581145.89+0.013 7.0A0 
230528.881-0.0017+243911.43-0.002 7.0A0 
231457.902+0.0017+280415.06-0.017 7.0A0 
231501.327+0.0004+463127.56-0.017 7.0A0 
232403.397+0.0001+294022.53+0.003 7.0A0 
233034.171-0.0007+775339.35+0.006 7.0A0 
233255.344+0.0001-030100.66-0.020 7.0A0 
233313.966-0.0008-123632.58-0.023 7.0A0 
234918.238-0.0028+225116.45-0.024 7.0A0 
030331.897+0.0000+382434.49-0.031 7.0A0 
030934.623+0.0020+192251.19-0.003 7.0A0 
031946.485+0.0017-185038.71+0.020 7.0A0 
032448.991+0.0023+283909.14-0.057 7.0A0 
034154.339+0.0001-142147.76-0.012 7.0A0 
035838.160+0.0002+535919.80-0.008 7.0A0 
040125.980+0.0033+283009.05-0.014 7.0A0 
040847.211-0.0026+501202.13-0.006 7.0A0 
044702.181+0.0008+411818.05-0.011 7.0A0 
051118.109-0.0004+294349.46-0.010 7.0A0 
055610.693+0.0013-210719.00+0.050 7.0A0 
064302.306+0.0003-134154.18-0.033 7.0A0 
070040.335-0.0010+232623.95-0.021 7.0A0 
125638.798+0.0004+433307.24+0.005 7.0A0 
142833.309+0.0013+281726.90+0.007 7.0A0 
155714.924-0.0014+032418.95+0.008 7.0A0 
