053525.98 -055435.6 +000002.3-000000.600002.5 02.75-0.21O9 0            Na'ir al Saif : iota Orionis
132036.07 -364243.5 -000340.8-000088.000055.6 02.7500.07A2 0            
145052.78 -160229.8 -000105.7-000069.000042.2 02.7500.15A3 0            Zuben El Genubi : alpha Librae
174328.38 +043400.9 -000040.7+000158.800039.8 02.7601.17K2 0            Kelb al Rai : beta Ophiuchi
050751.03 -050510.5 -000083.4-000075.400036.7 02.7800.16A3 0            Cursa : beta Eridani
163013.26 +212922.7 -000098.4-000014.500022.1 02.7800.95G8 1            Kornephoros : beta Herculis
171438.86 +142324.9 -000006.7+000032.800008.5 02.7801.16M5 1            Rasalgethi
121508.76 -584456.0 -000036.7-000010.700009.0 02.79-0.19B2 0            
173025.98 +521804.9 -000015.6+000011.600009.0 02.7900.95G2 0            Rastaban : beta Draconis
153508.46 -411000.1 -000016.1-000025.500005.8 02.80-0.22B2 1 0.02   2.85
052814.73 -204533.2 -000005.0-000085.900020.5 02.8100.81G5 0            Nihal : beta Leporis
164117.48 +313606.8 -000462.6+000345.100092.6 02.8100.65F9 1            Ras Algethi : alpha Herculis
002539.20 -771518.1 +002220.1+000324.400133.8 02.8200.62G2 0            
163552.96 -281257.5 -000008.6-000022.500007.6 02.82-0.21B0 0            
182758.27 -252516.5 -000044.8-000186.300042.2 02.8201.02K1 0            Kaus Borealis : lambda Sagittari
001314.15 +151101.0 +000004.7-000008.200009.8 02.83-0.19B2 1 0.03   0.15Algenib : gamma Pegasi
080732.70 -241816.0 -000083.3+000046.400052.0 02.8300.46F2 0 0.10   0.14
155508.81 -632547.1 -000188.4-000401.900081.2 02.8300.32F2 0            
035407.92 +315301.2 +000004.4-000009.200003.3 02.8400.27B1 0            Atik : omicron Persei
173150.52 -495233.5 -000031.3-000067.200013.5 02.84-0.14B2 0            Tchou : alpha Arae
172518.00 -553147.4 -000008.2-000024.700005.4 02.8401.48K3 0            
034729.06 +240618.9 +000019.4-000043.100008.9 02.85-0.09B7 0            Alcyone : eta Tauri
130210.76 +105732.8 -000275.1+000020.000031.9 02.8500.93G8 0            Vindemiatrix : epsilon Virginis
214702.29 -160735.6 +000263.3-000296.200084.6 02.8500.18A5 0 0.11   1.02Deneb Algiedi : delta Capricorni
015845.87 -613411.7 +000262.5+000026.900045.7 02.8600.29F0 1            
194458.44 +450750.5 +000043.2+000048.400019.1 02.86-0.00B9 1            
151854.69 -684046.1 -000066.5-000032.000017.9 02.8700.01A1 0            
062257.59 +223049.9 +000056.8-000108.800014.1 02.8701.62M3 0            Tejat : mu Geminorium
221830.18 -601534.2 -000071.5-000038.100016.4 02.8701.39K3 1            
025815.72 -401817.0 -000053.5+000025.700020.2 02.8800.13A4 1            Acamar : theta Eridani
190945.83 -210124.7 -000001.2-000036.800007.4 02.8800.38F2 0            
072709.07 +081721.9 -000050.3-000038.500019.2 02.89-0.10B8 0            Gomeisa : beta Canis Minoris
125601.84 +381905.7 -000233.4+000055.000029.6 02.89-0.12A0 1 0.08   5.47Cor Caroli : alpha Canum Venaticorum
155851.12 -260650.6 -000012.0-000025.700007.1 02.89-0.18B1 0 0.04   1.57
035751.22 +400037.0 +000012.6-000024.100006.1 02.90-0.20B0 0            
162111.32 -253533.9 -000010.0-000018.000004.4 02.9000.30B1 1 0.06   0.25Al Niyat : sigma Scorpii
213133.52 -053416.2 +000022.8-000006.700005.3 02.9000.83G0 0            Sadalsud : beta Aquarii
030447.79 +533023.2 +000000.5-000004.200012.7 02.9100.72G8 1            
094706.14 -650419.3 -000011.6+000005.000002.0 02.9200.27A9 1            
224300.13 +301316.7 +000013.1-000026.100015.2 02.9300.85G2 1            Matar : eta Pegasi
122951.98 -163054.3 -000210.0-000139.300037.1 02.94-0.01B9 0            Algorab : delta Corvi
064956.14 -503651.8 +000034.2-000065.800017.9 02.9401.21K0 1            
220547.03 -001911.4 +000017.9-000009.900004.3 02.9500.97G2 0            Sadalmelik : alpha Aquarii
053738.68 +210833.3 +000002.4-000018.000007.8 02.97-0.15B4 0            
094551.10 +234627.4 -000046.1-000009.600013.0 02.9700.81G0 0            
035801.73 -133029.7 +000060.5-000111.300014.8 02.9701.59M1 0            Zaurak : gamma Eridani
180548.52 -302525.1 -000055.8-000181.500033.9 02.9800.98K0 0            Al Nasl : gamma Sagittari
131855.25 -231017.1 +000068.4-000041.100024.7 02.9900.92G8 0            
174735.08 -400737.1 +000000.4-000006.400001.8 02.9900.51F3 0            
190524.61 +135149.4 -000007.0-000095.300039.2 02.9900.01A0 0            
020932.52 +345914.6 +000148.8-000039.100026.2 03.0000.14A5 1            
152043.75 +715002.3 -000018.0+000017.700006.8 03.0000.06A3 0            Pherkab : gamma Ursa Minoris
165152.24 -380250.4 -000008.8-000021.600004.0 03.00-0.20B1 0 0.26   1.45
215355.65 -372153.4 +000095.9-000012.100016.1 03.00-0.08B8 1            Al Dhanab : gamma Gruis
110939.86 +442954.8 -000062.4-000027.400022.2 03.0001.14K1 0            
034255.48 +474715.6 +000023.8-000041.900006.2 03.01-0.12B5 1            
062018.79 -300348.2 +000008.0+000003.800009.7 03.02-0.16B2 0            Furud : zeta Canis Majoris
070301.47 -234959.9 -000001.6+000004.300001.3 03.02-0.08B3 0 0.08  24.44
121007.53 -223711.3 -000071.5+000010.600010.8 03.0201.33K2 0            Minkar : epsilon Corvi
050158.13 +434923.9 +000000.2-000002.300001.6 03.0300.54F0 1 0.15   0.00Maaz : epsilon Aurigae
124616.87 -680629.1 -000040.4-000010.300010.5 03.04-0.18B2 1            
143204.76 +381828.4 -000115.5+000151.900038.3 03.0400.19A7 0            Seginus : gamma Bootis
202100.65 -144653.0 +000048.4+000014.000009.5 03.0500.79A5 1            Dabih : beta Capricorni
193043.29 +275734.9 -000007.1-000005.600008.5 03.0501.09K3 1            Albireo : beta Cygni
064355.93 +250752.2 -000005.9-000012.800003.6 03.0601.38A3 0            Mebsuta : epsilon Geminorium
102219.80 +412958.0 -000080.5+000034.100013.1 03.0601.60M0 0            Tania Australis : mu Ursa Majoris
191233.15 +673940.7 +000094.5+000092.300032.5 03.0700.99G9 0            Altais : delta Draconis
181737.73 -364540.6 -000129.3-000166.600021.9 03.1001.58M2 0            
085523.68 +055643.9 -000099.8+000014.700021.6 03.1100.98G8 0            
113546.93 -630111.4 -000033.8-000006.900008.0 03.11-0.04B9 0            
104937.43 -161138.9 +000092.8+000199.000023.5 03.1101.23K0 0            
203733.99 -471730.0 +000049.2+000066.100032.2 03.1101.00K0 0            Al Nair : alpha Indi
085912.84 +480232.5 -000441.1-000215.200068.3 03.1200.22A7 0            Talitha Borealis : iota Ursa Majoris
171501.92 +245022.5 -000021.1-000157.700041.5 03.1200.08A3 0            Sarin : delta Herculis
055057.55 -354609.5 +000055.7+000404.700037.9 03.1201.15K1 0            Wazn : beta Columbae
165837.23 -555924.2 -000018.3-000035.300005.7 03.1201.55K5 0            
145909.70 -420614.9 -000017.8-000021.300006.0 03.13-0.21B2 1            
092103.46 +342333.1 -000222.8+000014.800014.7 03.1401.55M0 0            
093113.35 -570203.8 -000032.6+000006.100013.7 03.1601.54K5 0            
171502.85 +364833.0 -000027.4+000002.700008.9 03.1601.44K3 0            
063745.67 -431145.3 -000000.4-000004.000007.7 03.17-0.10B8 0            
093252.33 +514043.0 -000947.1-000535.600074.2 03.1700.47F6 0            
170847.23 +654252.7 -000020.8+000019.100009.6 03.17-0.12B6 1            Kaou Pih : zeta Draconis
184539.35 -265926.8 +000051.1+000000.500014.1 03.17-0.11B8 0            
050630.87 +411404.7 +000030.6-000068.400014.9 03.18-0.15B3 0            
144230.69 -645828.5 -000192.6-000234.100061.0 03.1800.26F1 0            
044950.14 +065740.5 +000463.4+000011.600124.6 03.1900.48F6 0            
050527.65 -222215.1 +000019.3-000072.300014.4 03.1901.46K4 0            
165740.27 +092230.2 -000293.0-000009.700038.0 03.1901.16K2 0            
174951.45 -370236.1 +000042.1+000027.800025.7 03.1901.19K0 0            
211256.18 +301337.5 +000006.9-000068.100021.6 03.2100.99G8 1            
233920.98 +773755.1 -000048.9+000127.200072.5 03.2101.03K1 1            Er Rai : gamma Cephei
152122.34 -403850.9 -000019.1-000024.100006.4 03.22-0.23B1 1            
161819.24 -044133.4 +000082.4+000040.100030.3 03.2300.97G8 0            Yed Posterior : epsilon Ophiuchi
182118.92 -025349.6 -000547.6-000700.700052.8 03.2300.94K0 0            
212839.58 +703338.5 +000012.6+000008.700005.5 03.23-0.20B2 0 0.05   0.19Alphirk : beta Cephei
064811.54 -615631.1 -000068.4+000242.000033.0 03.2400.23A7 0            
201118.26 -004917.3 +000035.5+000006.000011.4 03.24-0.07B9 1            
185856.62 +324122.4 -000002.8+000001.800005.1 03.25-0.05B9 0            Sulaphat : gamma Lyrae
072913.88 -431806.8 -000059.9+000188.700017.7 03.2501.51K5 1 0.04 130.50
140622.27 -264055.3 +000043.0-000140.800032.2 03.2501.09K2 0            
150404.26 -251654.7 -000071.8-000044.700011.2 03.2501.67M3 0            
034714.23 -741421.3 +000051.1+000115.300015.2 03.2601.59M2 0            
172200.58 -245958.2 -000008.8-000023.600005.8 03.27-0.19B2 0 0.03   0.14
225439.04 -154914.7 -000044.1-000024.800020.4 03.2700.07A3 0            Skat : delta Aquarii
003919.60 +305140.4 +000115.4-000083.000032.2 03.2701.27K3 0            
051255.87 -161219.5 +000045.7-000016.100017.7 03.29-0.11B9 0            
101344.28 -700216.5 -000035.7+000007.500008.8 03.29-0.07B8 0            
152455.78 +585757.7 -000008.3+000017.300031.9 03.2901.17K2 0            Edasich : iota Draconis
043359.72 -550242.0 +000058.1+000012.700018.6 03.30-0.08A0 1 0.04   2.94
103201.48 -614107.3 -000016.6+000011.400006.6 03.30-0.09B4 0            
172523.66 -562239.7 -000000.8-000015.800002.9 03.31-0.15B1 0            
061452.70 +223024.6 -000062.5-000010.200009.3 03.3101.60M3 1 0.23 233.00
010605.11 -464306.6 -000070.2+000031.600016.5 03.3200.89G8 0            
121525.45 +570157.4 +000103.6+000007.800040.0 03.3200.08A3 0            Megrez : delta Ursa Majoris
171209.18 -431418.6 +000022.0-000287.400045.6 03.3200.44F3 0            
