I1658 011549.6 +310450 14.9  8   1.9   0.4 157   4561 NGC 444               
I1659 011606.2 +302054 14.2  8   1.2   0.9  20   4584 UGC 812               
I1660 011238.4 -714541       3   0.0   0.0   0        ESO 51-SC24           
I1661 011612.4 +330349 14.9  8   0.7   0.5  35   4594 NGC 451               
I1662 011233.3 -732725       3   0.0   0.0   0        ESO 29-SC37           
I1663 011406.8 -323902 13.2  8   2.4   0.6 170   4440 IC 1657               
I1664 011416.2 -694852       1   0.0   0.0   0                              
I1665 011745.0 +344206       1   0.0   0.0   0                              
I1666 011953.4 +322800 14.3  8   1.1   1.0  72   4782 UGC 857               
I1667 011842.2 -170301 14.5  8   1.0   0.9  69   4694 MCG -3-4-39           
I1668 011853.2 +331020 16.0  8   0.3   0.3   0   4712 ZWG 502.24            
I1669 012006.9 +331102 15.6  8   1.0   0.2   5   4802 ZWG 502.32            
I1670 011848.7 -164813 14.4  8   1.9   0.4 126   4707 IC 1670A              
I1670 011852.8 -164811 14.6  8   1.4   0.4  94   4711 IC 1670B              
I1670A011848.7 -164813 14.4  8   1.9   0.4 126   4707 IC 1670-1             
I1670B011852.8 -164811 14.6  8   1.4   0.4  94   4711 IC 1670-2             
I1671 011902.2 -170340 14.0  8   1.3   0.6 170   4724 IC 93                 
I1672 012038.3 +294156 13.9  8   1.3   1.0 140   4848 UGC 872               
I1673 012046.3 +330244 15.1  8   0.3   0.3   0   4855 ZWG 502.38            
I1674 011849.0 -503827       0   0.0   0.0   0                              
I1675 012100.1 +341456 14.5  8   0.8   0.3  69   4876 UGC 879               
I1676 012058.5 +301536 15.4  8   0.5   0.4   0   4871 ZWG 502.41            
I1677 012107.1 +331256 15.0  8   0.9   0.5 120   4891 MCG 5-4-25            
I1678 012102.6 +053337 15.4  8   0.4   0.4   0   4875 ZWG 411.28            
I1679 012144.5 +332934 15.7  8   0.5   0.4  54   4944 MCG 5-4-27            
I1680 012151.4 +331655 15.3  8   0.7   0.5  90   4956 MCG 5-4-28            
I1681 012121.2 +000526 14.8  8   1.0   0.5  99   4916 UGC 894               
I1682 012213.4 +331535 14.5  8   0.8   0.4 126   4983 UGC 912               
I1683 012239.1 +342614 14.2  8   1.3   0.6 177   5008 UGC 916               
I1684 012253.2 +332447 15.8  8   0.6   0.3 125 169770                       
I1685 012306.7 +331127 15.5  8   0.5   0.4  25 169771                       
I1686 012311.5 +332735 13.2  8   1.7   1.3  84   5060 NGC 499               
I1687 012319.3 +331637 14.7  8   0.5   0.3   3   5074 MCG 5-4-39            
I1688 012328.2 +330458 16.0  8   0.4   0.3  40 169774                       
I1689 012348.0 +330318 14.8  8   0.9   0.5 165   5108 MCG 5-4-46            
I1690 012349.5 +330925 15.4  8   0.5   0.3 135   5110 ZWG 502.71            
I1691 012425.9 +332424 16.0  8   0.4   0.3 115 169777                       
I1692 012439.7 +331407 15.6  8   0.4   0.3 140   5203 ZWG 502.76            
I1693 012402.3 -013925 16.2  8   0.5   0.2 162  73940 DRCG 7-20             
I1694 012447.7 +013628 14.9  8   0.6   0.4   3   5221 ZWG 385.111           
I1695 012507.5 +084157 15.0  8   0.7   0.7   0   5245 UGC 977               
I1696 012452.4 -013702 14.6  8   0.9   0.8  10   5231 UGC 973               
I1697 012502.9 +002642 14.6  8   0.9   0.6 110   5238 UGC 976               
I1698 012522.1 +145018 14.5  8   1.3   0.4 120   5261 UGC 983               
I1699 012505.6 +145440       0   0.0   0.0   0                              
I1700 012524.7 +145153 13.9  8   1.0   0.7  27   5271 IC 107                
I1701 012550.3 +181106 15.4  8   1.2   1.0  99   5309 UGC 1002              
I1702 012556.2 +163604 14.3  8   1.2   1.0 170   5321 UGC 1005              
I1703 012625.1 -013818 14.6  8   1.8   0.6 123   5351 NGC 557               
I1704 012709.5 +144633 14.1  8   1.1   0.8 165   5411 UGC 1027              
I1705 012644.8 -033006 14.5  8   0.9   0.7   3   5377 MCG -1-4-48           
I1706 012730.8 +144909 16.0  8   0.3   0.3   0   5433 ZWG 436.57            
I1706 012731.2 +144910 16.0  8   0.3   0.3   0        ZWG 436.57            
I1707 012755.0 +370741       0   0.0   0.0   0                              
I1708 012456.5 -711102       3   0.0   0.0   0        ESO 52-SC2            
I1709 012756.9 -354303 13.6  8   2.2   1.3 140   5468 NGC 568               
I1710 013046.4 +212625 13.6  8   1.7   1.6  66   5634 NGC 575               
I1711 013055.2 +171120 14.5  8   2.6   0.5  43   5643 UGC 1082              
I1712 013120.5 -065202 11.5  8   4.1   2.0  72   5663 NGC 584               
I1713 013243.7 +351930       1   0.0   0.0   0                              
I1714 013253.1 -130129 16.0  8   0.5   0.5   0                              
I1715 013334.4 +123508 14.6  8   0.7   0.5 100   5805 UGC 1115              
I1716 013326.8 -121828       1   0.0   0.0   0                              
I1717 013231.2 -673149       0   0.0   0.0   0        ESO 52-?5             
I1718 013826.9 +332155 15.1  8   0.6   0.3 129   6068 ZWG 503.2             
I1719 013735.8 -335527 13.8  8   1.6   1.2 174   6020 ESO 353-27            
I1720 014021.4 -285450 13.7  8   1.5   1.1 162   6180 ESO 413-19            
I1721 014124.4 +083134 14.2  8   1.0   0.5  94   6235 UGC 1187              
I1722 014302.7 -341117 14.7  8   1.5   0.5  50   6319 ESO 353-34            
