#full_name,epoch_mjd,q,a,e,i,w,om,ma,tp_cal,orbit_id,H,G,neo,M1,M2,diameter,extent,albedo,rot_per,per_y,moid,class
"  2687 Tortali (1982 HG)",55600,2.2099398,2.5186247,0.1225609,10.08885,255.60434,49.77771,347.23717,20110331.7592646,MPO169563,11.89,,N,,,11.95,,0.2170,21.75,3.9971770825462,,MBA
"  2688 Halley (1982 HG1)",55600,2.7118226,3.1651932,0.1432363,3.45460,183.45750,95.42124,5.12971,20110109.6918045,MPO57621,11.6,,N,,,,,,,5.6312984164271,,MBA
"  2690 Ristiina (1938 DG1)",55600,2.6875954,3.0339204,0.1141510,11.44173,259.74567,136.30253,49.68780,20100517.5891077,MPO65989,11.10,,N,,,20.12,,0.1585,,5.2846287748118,,MBA
"  2697 Albina (1969 TC3)",55600,3.2676030,3.5562739,0.0811723,3.58215,131.90601,271.01150,22.22779,20100909.7536072,MPO97223,10.20,,N,,,51.54,,0.0553,9.6,6.7065785683778,,OMB
"  2698 Azerbajdzhan (1971 TZ)",55600,2.5229711,2.6631787,0.0526467,6.89178,240.49408,206.52030,315.67162,20110822.4691566,MPO169563,11.9,,N,,,,,,,4.3461894683094,,MBA
"  2699 Kalinin (1976 YX)",55600,2.1897752,2.6379659,0.1699001,16.12494,294.54417,64.12662,47.27709,20100717.4817295,MPO128610,11.7,,N,,,,,,,4.2846166945927,,MBA
"  2702 Batrakov (1978 SZ2)",55600,3.1015549,3.4278006,0.0951764,1.59842,319.95112,243.44413,182.05303,20140329.8027427,MPO179644,11.5,,N,,,,,,,6.3464598398357,,OMB
"  2706 Borovsky (1980 VW)",55600,2.8913052,3.0183632,0.0420950,10.85637,93.22617,50.95300,190.11999,20130730.8480846,MPO150774,11.9,,N,,,,,,,5.2440332933607,,MBA
"  2707 Ueferji (1981 QS3)",55600,2.7843015,3.1887527,0.1268368,2.67332,342.14110,79.61010,356.02141,20110302.9856284,MPO116103,11.60,,N,,,26.47,,0.0578,,5.6942885451061,,MBA
"  2708 Burns (1981 WT)",55600,2.5487155,3.0858021,0.1740509,2.78261,331.51074,111.71880,114.16535,20090521.1117725,MPO141718,11.8,,N,,,,,,,5.4207615537303,,MBA
