N6543 175833.4 +663801  8.8  6   0.3   0.0   0        PK 96+29.1            Cat Eye Nebula           
N6544 180720.6 -245949       4   9.2   0.0   0        GCL 87                
N6545 181214.9 -634633 14.2  8   1.1   0.9 168  61551 ESO 103-6             
N6546 180712.0 -231800       3  15.0   0.0   0        OCL 24                
N6547 180510.0 +251358 14.4  8   1.3   0.4 133  61378 UGC 11110             
N6548 180559.2 +183514 12.7  8   2.9   2.8  60  61404 NGC 6550              
N6549 180549.4 +183216 14.8  8   1.4   0.4  53  61399 UGC 11114             
N6550 180559.2 +183514 12.7  8   2.9   2.8  60  61404 NGC 6548              
N6551 180902.0 -293454       1   0.0   0.0   0                              
N6552 180007.0 +663655 14.6  8   1.0   0.7 105  61252 UGC 11096             
N6553 180915.6 -255426       4   9.2   0.0   0        GCL 88                
N6554 180858.0 -182607       0   0.0   0.0   0                              
N6555 180749.0 +173617 13.0  8   2.1   1.7 110  61432 UGC 11121             
N6556 180956.0 -273127       3   0.0   0.0   0                              
N6557 182124.7 -763458 13.9  8   1.6   1.1  80  61770 ESO 45-1              
N6558 181018.4 -314547       4   4.2   0.0   0        GCL 89                
N6559 180957.6 -240635       5   8.0   5.0   0        LBN 29                
N6560 180513.8 +465254 14.2  8   1.2   0.8  55  61381 UGC 11117             
N6561 181030.0 -164328       0   0.0   0.0   0                              
N6562 180500.8 +561549 14.9  8   0.7   0.7   0  61376 MCG 9-29-51           
N6563 181202.6 -335204 13.8  6   0.8   0.0   0        PK 358-7.1            
N6564 180902.0 +172340       0   0.0   0.0   0                              
N6565 181152.5 -281041 13.2  6   0.2   0.0   0        PK 3-4.5              
N6566 180700.7 +521538 15.7  8   0.6   0.6   0  61418 MCG 9-30-1            
N6567 181345.1 -190432 11.7  6   0.2   0.0   0        PK 11-0.2             
N6568 181245.1 -213500       3  12.0   0.0   0        OCL 28                
N6569 181338.9 -314933       4   6.4   0.0   0        GCL 91                
N6570 181107.3 +140534 13.3  8   1.9   1.1  30  61512 UGC 11137             
N6571 181049.3 +211421 15.4  8   0.4   0.4   0  61504 MCG 4-43-6            
N6572 181206.4 +065115  9.0  6   0.2   0.0   0        PK 34+11.1            
N6573 181341.5 -220708       3   0.0   0.0   0        ESO 590-**7           
N6574 181151.2 +145854 12.8  8   1.5   1.1 160  61536 NGC 6610              
N6575 181057.5 +310658 14.0  8   1.8   1.3  65  61506 UGC 11138             
N6576 181147.9 +212544 15.4  8   0.6   0.6   0  61530 ZWG 142.14            
N6577 181201.1 +212750 13.7  8   1.5   1.3   6  61543 UGC 11148             
N6578 181616.5 -202700 13.1  6   0.2   0.0   0        PK 10-1.1             
N6579 181231.8 +212514 14.5  8   0.4   0.4   0  61562 UGC 11153             
N6580 181233.7 +212533 14.1  8   1.3   0.7 135  61566 UGC 11153             
N6581 181218.3 +253946 15.3  8   0.4   0.4   0  61549 IC 1280               
N6582 181101.8 +495441 14.9  8   0.6   0.6   0  61510 UGC 11146             
N6582 181105.2 +495433 15.4  8   0.8   0.8   0  61513 UGC 11146             
N6583 181548.8 -220815       3   5.0   0.0   0        OCL 27                
N6584 181837.7 -521252       4   6.6   0.0   0        GCL 92                
N6585 181221.9 +393800 13.7  8   1.9   0.4  50  61553 UGC 11159             
N6586 181338.4 +210527 14.7  8   0.9   0.5 105  61600 UGC 11164             
N6587 181350.8 +184933 13.6  8   1.3   1.1  21  61607 UGC 11166             
N6588 182033.0 -634828       3   2.5   0.5   0        ESO 103-**14          
N6589 181651.7 -194641       5   5.0   3.0   0        IC 4690               
N6590 181704.8 -195158  7.0  5  11.0   0.0   0        NGC 6595              
N6591 181403.7 +210349 16.3  8   0.3   0.1  95  61610                       
N6592 180950.6 +612521 15.6  8   0.5   0.4 126  61477 MCG 10-26-18          
N6593 181403.6 +221705 15.3  8   0.8   0.4 162  61617 MCG 4-43-18           
N6594 181005.6 +610801 15.3  8   1.0   0.7  90  61482 MCG 10-26-19          
N6595 181704.8 -195158  7.0  5  11.0   0.0   0        NGC 6590              
N6596 181730.0 -164000       3  10.0   0.0   0        OCL 41                
N6597 181113.4 +611052 15.8  8   0.8   0.4  99  61520 MCG 10-26-20          
N6598 180855.7 +690407 14.0  8   1.5   1.1  40  61462 UGC 11139             
N6599 181542.9 +245447 13.8  8   1.3   1.2  69  61655 NGC 6600              
N6600 181542.9 +245447 13.8  8   1.3   1.2  69  61655 NGC 6599              
N6601 181144.2 +612711 15.7  8   0.5   0.3  42  61533 MCG 10-26-22          
N6602 181634.2 +250237 14.6  8   1.0   0.7   0  61674 UGC 11184             
N6603 181826.9 -182422       3   4.0   0.0   0        OCL 36                Delle Caustiche
N6604 181803.0 -121435       3   6.0   0.0   0        OCL 56                
N6605 181606.5 -145900       3  29.0   0.0   0        OCL 47                
N6606 181441.3 +431607 14.4  8   0.9   0.7  69  61633 UGC 11174             
N6607 181214.9 +612000 16.1  8   0.5   0.5   0  61550 MCG 10-26-23          
N6608 181229.2 +611755 15.6  8   1.0   0.1  42  61556 MCG 10-26-24          
N6609 181233.6 +611956 15.3  8   0.7   0.7   0  61559 MCG 10-26-25          
N6610 181151.2 +145854 12.8  8   1.5   1.1 160  61536 NGC 6574              
N6611 181848.0 -134750       3   8.0   0.0   0                        M  16 Eagle Nebula        
N6612 181610.9 +360445 15.5  8   0.7   0.7   0  61665 MCG 6-40-11           
N6613 181958.0 -170606       3   7.0   0.0   0                        M  18 
N6614 182507.3 -631454 13.8  8   1.4   1.1  65  61852 ESO 103-18            
N6615 181833.4 +131555 14.3  8   1.3   0.9 165  61713 UGC 11196             
N6616 181741.0 +221416 15.0  8   1.4   0.6  59  61693 UGC 11192             
N6617 181402.9 +611910 15.3  8   1.1   0.7  80  61613 UGC 11176             
N6618 182048.0 -161100  6.0  5  20.0  15.0   0                        M  17 Swan Nebula, Omega Nebula        
N6619 181855.5 +233919 14.1  8   1.2   1.1 102  61721 UGC 11200             
N6620 182254.2 -264916 15.0  6   0.1   0.0   0        PK 5-6.1              
N6621 181255.6 +682147 14.0  8   2.1   0.8 145  61582 UGC 11175             
N6622 181259.9 +682115 15.8  8   0.9   0.4 145  61579 UGC 11175             
N6623 181942.9 +234234 14.3  8   1.3   1.2 155  61739 UGC 11203             
N6623 181942.7 +234207 15.5  8   0.3   0.3   0  61749 MCG 4-43-27           
N6624 182340.5 -302138       4   8.8   0.0   0        GCL 93                
N6625 182302.0 -120124       3  39.0   0.0   0        OCL 58                
N6626 182432.9 -245210       4  13.8   0.0   0                        M  28 
N6627 182238.9 +154154 14.3  8   1.3   1.2  70  61792 UGC 11212             
N6628 182221.7 +232839 14.4  8   1.9   1.3  87  61790 UGC 11211             
N6629 182542.4 -231208 11.6  6   0.3   0.0   0        PK 9-5.1              
N6630 183234.5 -631731 14.6  8   0.8   0.7   0  62008 ESO 103-26            
N6631 182712.0 -120200       3   7.0   0.0   0        OCL 59                
N6632 182503.1 +273209 12.9  8   3.0   1.4 155  61849 UGC 11226             
N6633 182715.1 +063030       3  20.0   0.0   0        OCL 90                
N6634 183123.2 -322051  7.6  4   7.1   0.0   0                        M  69 
N6635 182737.0 +144907 14.5  8   1.0   0.9  42  61900 UGC 11239             
N6636 182202.6 +663703 14.2  8   2.1   0.3 179  61782 UGC 11221             
N6636 182204.9 +663721 16.0  8   0.3   0.3   0  61780 UGC 11221             
N6637 183123.2 -322051  7.6  4   7.1   0.0   0                        M  69 
N6638 183056.2 -252945       4   7.3   0.0   0        GCL 95                
N6639 183059.0 -130916       3   0.0   0.0   0                              
N6640 182808.1 +341809 14.2  8   1.1   0.8 153  61913 UGC 11247             
N6641 182857.3 +225412 14.3  8   0.9   0.7 102  61935 UGC 11250             
N6642 183154.3 -232833       4   5.8   0.0   0        GCL 97                
N6643 181945.6 +743406 11.7  8   3.7   1.8  38  61742 UGC 11218             
N6644 183234.7 -250742 12.2  6   0.2   0.0   0        PK 8-7.2              
N6645 183237.8 -165302       3  15.0   0.0   0        OCL 48                
N6646 182938.7 +395154 13.6  8   1.6   1.3  63  61944 UGC 11258             
N6647 183249.0 -171342       3   0.0   0.0   0                              
N6648 182537.4 +645833       1   0.0   0.0   0                              
N6649 183327.0 -102412       3   6.0   0.0   0        OCL 66                
N6650 182527.9 +680023 14.9  8   0.4   0.4   0  61857 ZWG 322.43            
N6651 182419.7 +713608 13.7  8   1.6   0.7  30  61836 UGC 11236             
N6652 183545.7 -325923       4   6.0   0.0   0        GCL 98                
N6653 184438.6 -731547 13.5  8   1.7   1.5   0  62342 ESO 45-13             
N6654 182407.6 +731058 12.8  8   2.6   2.1   0  61833 UGC 11238             
N6654A183925.3 +733451 13.5  8   2.7   0.8  63  62207 UGC 11332             
N6655 183417.1 -060004       1   0.0   0.0   0                              
N6656 183624.2 -235410       4  32.0   0.0   0                        M  22 
N6657 183301.5 +340339 14.4  8   1.0   0.6 138  62019 UGC 11271             
N6658 183355.7 +225317 13.9  8   1.6   0.3   5  62052 UGC 11274             
N6659 183354.0 +233532       3   7.0   0.0   0                              
N6660 183436.7 +225433 13.2  8   1.8   1.1 145  62072 NGC 6661              
N6661 183436.7 +225433 13.2  8   1.8   1.1 145  62072 NGC 6660              
N6662 183411.2 +320353 14.8  8   1.6   0.5  20  62059 UGC 11280             
N6663 183333.7 +400257 14.6  8   1.0   0.9 140  62032 UGC 11276             
N6664 183630.0 -081100       3  12.0   0.0   0        OCL 68                
N6665 183430.0 +304315 14.6  8   1.1   0.6   0  62065 MCG 5-44-4            
N6666 183444.0 +333518       0   0.0   0.0   0                              
N6667 183039.7 +675912 13.8  8   2.4   1.1 105  61972 NGC 6668              
N6668 183039.7 +675912 13.8  8   2.4   1.1 105  61972 NGC 6667              
N6669 183715.0 +221147       3   0.0   0.0   0                              
N6670 183333.4 +595316 15.1  8   1.1   0.6  90  62033 UGC 11284             
N6670 183337.5 +595323 15.1  8   0.5   0.2 105  62033 UGC 11284             
N6671 183726.2 +262503 13.7  8   1.5   1.3  27  62148 UGC 11299             
N6672 183614.5 +425649       1   0.0   0.0   0                              
N6673 184506.3 -621749 12.6  8   2.2   1.0  26  62351 ESO 140-44            
N6674 183833.9 +252228 13.0  8   4.2   2.1 143  62178 UGC 11308             
N6675 183726.2 +400328 13.3  8   1.8   1.3 130  62149 UGC 11305             
N6676 183309.6 +665736 15.2  8   1.6   0.3 142  62021 UGC 11286             
N6677 183335.7 +670636 14.4  8   0.9   0.4  95  62035 UGC 11290             
N6678 183039.7 +675912 13.8  8   2.4   1.1 105  61972 NGC 6667              
N6679 183331.4 +670850 15.8  8   0.3   0.2 103  62026 MCG 11-22-56          
N6680 183944.0 +221859 15.4  8   0.7   0.5  45  62210 ZWG 143.10            
N6681 184312.7 -321729       4   8.0   0.0   0                        M  70 
N6682 183937.0 -044818       3   0.0   0.0   0                              
N6683 184213.0 -061242       3   3.0   0.0   0        OCL 74                
N6684 184857.4 -651022 11.3  8   4.6   2.9  35  62453 ESO 104-16            
N6684A185223.6 -644953 13.2  8   3.0   1.8 140  62517 ESO 104-19            
N6685 183958.6 +395856 14.4  8   1.1   0.9  30  62220 UGC 11317             
N6686 184006.9 +400817 15.7  8   0.9   0.8  84  62224 MCG 7-38-17           
N6687 183722.0 +593835 14.6  8   1.3   1.2  60  62144 UGC 11309             
N6688 184039.9 +361722 13.6  8   1.6   1.3  75  62242 UGC 11324             
N6689 183449.9 +703127 13.0  8   4.0   1.3 171  62077 NGC 6690              
N6690 183449.9 +703127 13.0  8   4.0   1.3 171  62077 NGC 6689              
N6691 183912.0 +553830 13.6  8   1.6   1.5  48  62202 UGC 11318             
N6692 184141.5 +345039 14.2  8   1.0   0.7 110  62268 UGC 11330             
N6693 184132.0 +365454       0   0.0   0.0   0                              
N6694 184518.0 -092250       3  10.0   0.0   0                        M  26 
N6695 184242.8 +402202 14.3  8   1.1   0.7  12  62296 UGC 11340             
N6696 184005.0 +592000 16.0  8   0.8   0.2   0  62215 MCG 10-26-47          
N6697 184514.9 +253046 14.3  8   1.2   1.0  48  62354 UGC 11349             
N6698 184804.0 -255240       3   0.0   0.0   0                              
N6699 185201.9 -571914 12.7  8   1.5   1.5   0  62512 ESO 183-21            
N6700 184604.3 +321646 14.1  8   1.4   1.0 115  62376 UGC 11351             
N6701 184312.6 +603911 13.0  8   1.5   1.3  25  62314 UGC 11348             
N6702 184657.6 +454222 13.3  8   1.9   1.5  65  62395 UGC 11354             
N6703 184718.9 +453303 12.3  8   2.7   2.5   0  62409 UGC 11356             
N6704 185045.0 -051130       3   6.0   0.0   0        OCL 82                
N6705 185106.0 -061600       3  11.0   0.0   0                        M  11 Wild Duck Cluster          
N6706 185651.0 -630959 13.9  8   1.5   0.7 123  62596 ESO 104-24            
N6707 185521.9 -534909 13.3  8   2.1   1.0 143  62563 ESO 183-25            
N6708 185535.6 -534324 12.8  8   1.2   0.9 167  62569 ESO 183-27            
N6709 185130.0 +102100       3  15.0   0.0   0        OCL 100               
N6710 185034.0 +265019 14.2  8   1.7   1.0  40  62482 UGC 11364             
N6711 184900.9 +473927 13.7  8   1.1   0.9  90  62456 UGC 11361             
N6712 185304.3 -084220       4   9.8   0.0   0        GCL 103               
N6713 185044.2 +335737 14.4  8   0.4   0.3 100  62487 UGC 11365             
N6714 184549.0 +664330       0   0.0   0.0   0                              
N6715 185503.3 -302840       4  12.0   0.0   0                        M  54 
N6716 185434.3 -195404       3  10.0   0.0   0        OCL 46                
N6717 185506.2 -224201       4   5.4   0.0   0        Pal 9                 
N6718 190128.9 -660637 14.2  8   1.4   0.8 172  62688 ESO 104-29            
N6719 190307.3 -683516 13.5  8   1.7   0.8 107  62710 ESO 72-8              
N6720 185335.1 +330147  9.7  6   3.0   2.4  55                        M  57 Ring Nebula         
N6721 190050.9 -574534 13.1  8   1.6   1.4 155  62680 ESO 141-19            
N6722 190340.1 -645342 13.6  8   2.9   0.4 166  62722 ESO 104-33            
N6723 185933.2 -363752       4  13.0   0.0   0        GCL 106               
N6724 185646.0 +102542       3   0.0   0.0   0                              
N6725 190156.4 -535151 12.4  8   2.2   0.5  40  62692 ESO 183-36            
N6726 190139.2 -365329       5   9.0   7.0   0        ESO 396-N13           
N6727 190142.2 -365235       5  80.0   0.0   0        ESO 396-N14           
N6728 185845.0 -085758       3   0.0   0.0   0                              
N6729 190155.3 -365728       5  25.0  20.0   0        ESO 396-N*15          
N6730 190733.6 -685444 12.3  8   1.8   1.5  25  62796 ESO 72-9              
N6731 185713.5 +430438       3   0.0   0.0   0                              
N6732 185624.1 +522239 14.5  8   1.2   0.7 100  62586 UGC 11381             
N6732 185626.2 +522238 16.0  8   0.1   0.1   0        UGC 11381             
N6733 190610.7 -621148 13.2  8   1.8   1.2 110  62770 ESO 141-25            
N6734 190714.4 -652739 13.8  8   1.3   1.1   8  62786 ESO 104-36            
N6735 190037.0 -002828       3   0.0   0.0   0                              
N6736 190729.3 -652543 14.3  8   1.1   0.9  73  62792 ESO 104-37            
N6737 190200.0 -183058       3   0.0   0.0   0        ESO 592-**8           
N6738 190124.0 +113600       3  15.0   0.0   0        OCL 101               
N6739 190748.7 -612203 13.1  8   2.4   0.9 171  62799 ESO 141-28            
N6740 190050.5 +284616 15.0  8   0.9   0.8  30  62675 UGC 11388             
N6741 190237.0 -002656 10.8  6   0.1   0.0   0        PK 33-2.1             
N6742 185919.8 +482759 15.0  6   0.6   0.0   0        PK 78+18.1            
N6743 190120.0 +291638       3   0.0   0.0   0                              
N6744 190946.1 -635124  9.1  8  20.1  12.9  15  62836 ESO 104-42            
N6744A190843.7 -634348 15.1  8   1.8   0.7 110  62815 ESO 104-38            
N6745 190141.6 +404445 14.5  8   1.3   0.5  24  62691 UGC 11391             
N6745 190141.9 +404533 13.3  8   0.4   0.2   0        UGC 11391             
N6746 191022.3 -615806 13.1  8   1.4   0.9 173  62852 ESO 141-29            
N6747 185521.5 +724620 15.1  8   0.5   0.4 126  62564 ZWG 341.12            
N6748 190350.0 +213630       0   0.0   0.0   0                              
N6749 190515.3 +015405       4   4.0   0.0   0        GCL 107               
N6750 190036.0 +591002 13.8  8   1.0   0.6   5  62671 UGC 11389             
N6751 190555.5 -055930 12.5  6   0.4   0.0   0        PK 29-5.1             
N6752 191051.8 -595853       4  29.0   0.0   0        GCL 108               
N6753 191123.7 -570256 11.9  8   2.4   2.1  30  62870 ESO 184-22            
N6754 191125.0 -503831 12.9  8   1.8   0.9  80  62871 ESO 231-25            
N6754A190844.0 -510247 14.3  8   1.7   0.3 102  62816 ESO 231-23            
N6755 190749.0 +041559       3  15.0   0.0   0        OCL 96                
N6756 190842.5 +044221       3   4.0   0.0   0        OCL 99                
N6757 190506.1 +554303 13.9  8   1.4   1.0  84  62752 UGC 11401             
N6758 191352.5 -561834 12.6  8   2.3   1.7 121  62935 ESO 184-37            
N6759 190657.0 +502054 15.1  8   1.0   0.7  25  62779 MCG 8-35-2            
N6760 191112.1 +010152       4   9.6   0.0   0        GCL 109               
N6761 191504.7 -503925 14.0  8   1.6   1.2  19  62957 ESO 231-28            
N6762 190537.0 +635603 14.3  8   1.5   0.4 119  62757 NGC 6763              
N6763 190537.0 +635603 14.3  8   1.5   0.4 119  62757 NGC 6762              
N6764 190816.6 +505559 12.7  8   2.2   1.2  62  62806 UGC 11407             
N6765 191106.5 +303247 13.1  6   0.7   0.0   0        PK 62+9.1             
N6766 191000.0 +461900       0   0.0   0.0   0                              
N6767 191134.0 +374334       1   0.0   0.0   0                              
N6768 191632.7 -401231 13.2  8   1.2   1.1  36  62997 ESO 337-18            
N6768 191629.7 -401322 13.9  8   0.6   0.4   5  62995 ESO 337-17            
N6769 191822.8 -603003 12.4  8   2.2   1.5 123  63042 ESO 141-48            
N6770 191837.0 -602946 12.8  8   2.2   1.6  20  63048 ESO 141-49            
N6771 191839.4 -603247 13.5  8   2.3   0.5 118  63049 ESO 141-50            
N6772 191436.4 -024222 14.2  6   1.4   0.0   0        PK 33-6.1             
N6773 191508.0 +045102       3   0.0   0.0   0                              
N6774 191636.0 -161600       3  20.0   0.0   0        OCL 65                
N6775 191642.0 -005558       3   0.0   0.0   0                              
N6776 192519.1 -635136 13.1  8   1.6   1.4  15  63185 ESO 104-53            
N6776A192505.8 -634058 14.8  8   1.4   0.3  83  63181 ESO 104-52            
N6777 192632.0 -712752  7.7  1   0.0   0.0   0        ESO 72-**15           
N6778 191824.9 -013545 13.3  6   0.6   0.0   0        NGC 6785              
N6779 191635.5 +301107       4   8.8   0.0   0                        M  56 
N6780 192250.8 -554633 13.3  8   1.9   1.6 168  63151 ESO 184-62            
N6781 191828.3 +063225 11.8  6   1.9   0.0   0        PK 41-2.1             
N6782 192357.9 -595520 11.9  8   2.4   2.0  45  63168 ESO 142-1             
N6783 191647.5 +460105 15.4  8   0.6   0.6   0  63003 MCG 8-35-7            
N6784 192631.2 -653736 14.9  8   0.9   0.5 170  63209 ESO 104-55            
N6784A192635.7 -653703 14.7  8   0.9   0.5  45  63210 ESO 104-55A           
N6785 191824.9 -013545 13.3  6   0.6   0.0   0        NGC 6778              
N6786 191053.8 +732439 13.8  8   1.1   0.9  45  62864 UGC 11414             
N6787 191610.5 +602503 14.7  8   1.2   1.0 102  62987 UGC 11424             
N6788 192649.7 -545702 12.9  8   2.9   0.9  71  63214 ESO 184-67            
N6789 191641.7 +635819 13.7  8   1.3   1.0  60  63000 UGC 11425             
N6790 192257.0 +013049 10.2  6   0.2   0.0   0        PK 37-6.1             
N6791 192053.0 +374618       3  10.0   0.0   0        OCL 142               
N6792 192057.3 +430756 13.3  8   2.2   1.3  25  63096 UGC 11429             
N6793 192314.0 +220830       3   7.0   0.0   0        OCL 115               
N6794 192803.8 -385507 13.9  8   1.7   1.4  80  63241 ESO 338-5             
N6795 192619.2 +033046       1   0.0   0.0   0                              
N6796 192131.0 +610842 13.5  8   1.9   0.4 179  63121 UGC 11432             
N6797 192900.6 -253959       1   0.0   0.0   0        ESO 525-**10          
N6798 192403.1 +533727 14.2  8   1.6   0.9 141  63171 IC 1300               
N6799 193216.7 -555428 13.0  8   1.6   1.2  98  63339 ESO 184-78            
N6800 192707.6 +250811       3   5.0   0.0   0        OCL 123               
N6801 192735.9 +542221 14.6  8   1.3   0.7  44  63229 UGC 11443             
N6802 193036.0 +201600       3   5.0   0.0   0        OCL 114               
N6803 193116.3 +100326 11.3  6   0.2   0.0   0        PK 46-4.1             
N6804 193135.4 +091333 12.2  6   1.1   0.0   0        PK 45-4.1             
N6805 193645.8 -373314 14.3  8   1.1   0.9 163  63413 ESO 338-14            
N6806 193704.8 -421745 13.7  8   1.2   0.8  24  63416 ESO 338-15            
N6807 193433.5 +054104 13.8  6   0.1   0.0   0        PK 42-6.1             
N6808 194354.4 -703756 12.5  8   1.6   0.9  40  63578 ESO 73-3              
N6809 193959.4 -305742       4  19.0   0.0   0                        M  55 
N6810 194334.3 -583922 12.4  8   1.2   0.9 176  63571 ESO 142-35            
N6811 193718.0 +462255       3  15.0   0.0   0        OCL 185               
N6812 194523.9 -552049 13.6  8   1.1   0.6  94  63625 ESO 185-15            
N6813 194024.0 +271834       5   3.0   3.0   0        SG 3.148              
N6814 194240.5 -101928 12.1  8   3.0   2.8   0  63545 MCG -2-50-1           
N6815 194044.0 +264532       3   0.0   0.0   0                              
N6816 194402.4 -282403 13.7  8   1.2   0.8  77  63587 ESO 460-30            
N6817 193723.5 +622302 15.8  8   0.7   0.6  87  63431 MCG 10-28-5           
N6817 193721.1 +622300 16.3  8   0.2   0.2   0        NPM1G +62.0258        
N6818 194357.8 -140909  9.9  6   0.8   0.0   0        PK 25-17.1            Little Gem             
N6819 194118.0 +401100       3   5.0   0.0   0        OCL 155               
N6820 194228.0 +230515 15.0  5   0.5   0.5   0        IRAS19403+2258        
N6821 194424.2 -065004 13.8  8   1.3   1.1 135  63594 MCG -1-50-2           
N6822 194456.6 -144823  9.3  8  15.4  14.2   5  63616 IC 4895               Barnard's Galaxy      
N6823 194309.8 +231800       3   7.0   0.0   0        OCL 124               
N6824 194340.5 +560632 13.0  8   1.9   1.4  60  63575 UGC 11470             
N6825 194154.5 +640424 15.3  8   0.5   0.3 174  63535 ZWG 324.1             
N6826 194448.2 +503132  9.8  6   0.6   0.0   0        PK 83+12.1            Blinking Planetary      
N6827 194854.0 +211300       3   4.0   0.0   0        OCL 120               
N6828 195017.0 +075414       3   0.0   0.0   0                              
N6829 194707.5 +595426 14.9  8   1.6   0.4  31  63667 UGC 11478             
N6830 195059.5 +230600       3   6.0   0.0   0        OCL 125               
N6831 194757.2 +595335 14.3  8   1.4   1.4   0  63674 UGC 11483             
N6832 194815.0 +592520       3   0.0   0.0   0                              
N6833 194946.6 +485742 13.8  6   0.2   0.0   0        PK 82+11.1            
N6834 195212.5 +292429       3   6.0   0.0   0        OCL 134               
N6835 195432.8 -123403 13.4  8   2.4   0.7  72  63800 MCG -2-50-9           
N6836 195440.3 -124118 13.5  8   1.7   1.5 140  63803 MCG -2-50-10          
N6837 195308.0 +114154       3   3.0   0.0   0        OCL 108               
N6838 195346.1 +184644       4   7.2   0.0   0                        M  71 
N6839 195433.0 +175620       3   0.0   0.0   0                              
N6840 195537.0 +121502       3   0.0   0.0   0                              
N6841 195749.1 -314839 13.7  8   1.5   1.4 149  63881 ESO 461-23            
N6842 195502.3 +291723 13.6  6   0.9   0.0   0        PK 65+0.1             
N6843 195606.0 +120952       3   0.0   0.0   0                              
N6844 200250.0 -651344 13.5  8   1.4   1.1   0  64025 ESO 105-21            
N6845 200058.0 -470412 13.8  8   2.3   1.0  72  63985 NGC 6845A             
N6845A200058.0 -470412 13.8  8   2.3   1.0  72  63985 NGC 6845              
N6845B200105.1 -470334 14.9  8   1.1   0.6   6  63986 ESO 284-8C            
N6845C200056.8 -470503 15.4  8   0.8   0.4 138  63979 ESO 284-8A            
N6845D200053.7 -470541 16.3  8   0.7   0.2 156  63978 ESO 284-8B            
N6846 195628.1 +322058       3   0.8   0.0   0                              
N6847 195709.0 +292112       0   0.0   0.0   0                              
N6848 200246.9 -560525 12.5  8   2.4   1.0 157  64023 ESO 185-52            
N6849 200615.6 -401154 13.0  8   1.9   1.1  18  64097 ESO 339-32            
N6850 200329.8 -545043 13.5  8   2.1   1.1 153  64043 ESO 185-56            
N6851 200334.3 -481704 12.7  8   2.0   1.5 160  64044 ESO 233-21            
N6851A200548.9 -475837 14.9  8   1.3   0.6  54  64086 NGC 6861A             
N6851B200539.9 -475845 16.0  8   1.1   0.2  70  64082 ESO 233-23            
N6852 200039.2 +014343 12.8  6   0.5   0.0   0        PK 42-14.1            
N6853 195936.3 +224318  7.6  6   6.7   0.0   0                        M  27 Dumbbell Nebula               
