Ben Guerir                      Morocco          32  7 39 N   7 52 47 W
Bennington                      Vermont          42 52 48 N  73 11 48 W
Benton                          Arkansas         34 33 53 N  92 35 12 W
Bergen                          Norway           60 17 23 N   5 13 11 E
Bergisch-Gladbach               Germany          50 59 00 N    7 08 00 E
Berkeley                        California       37 52  9 N 122 16 15 W
Berlin                          Germany          52 31  0 N  13 19 59 E
Berlin                          New Hampshire    44 25  1 N  71 10  1 W
Bern                            Switzerland      46 55  0 N   7 25  0 E
Bethel                          Alaska           60 47 30 N 161 45  0 W
Bethesda                        Maryland         39  0  0 N  77 10  1 W
Bethlehem                       Pennsylvania     40 37 15 N  75 22 33 W
Bettendorf                      Iowa             41 36 42 N  90 35 21 W
Bettles Field                   Alaska           66 58  1 N 151 48  0 W
Biddeford                       Maine            43 29 30 N  70 27 47 W
Big Delta                       Alaska           64  7 58 N 145 48  0 W
Big Lake                        Alaska           61 51  0 N 150  5 59 W
Billings                        Montana          45 46 59 N 108 30  3 W
Biloxi                          Mississippi      30 23 48 N  88 52 59 W
Binghamton                      New York         42  6  2 N  75 54 47 W
Birmingham                      Alabama          33 31  0 N  86 48 36 W
Birmingham                      United Kingdom   52 28 59 N   1 52 59 W
Bismarck                        North Dakota     46 48 23 N 100 47 16 W
Bitburg                         Germany          49 56 42 N   6 34  8 E
Blackpool                       United Kingdom   53 46 22 N   3  2 41 W
Blackwell                       Oklahoma         36 46 58 N  97 19  1 W
Bloomfield                      New Jersey       40 47 42 N  74 12  0 W
Bloomington                     Illinois         40 28 54 N  88 59 35 W
Bloomington                     Indiana          39  9 53 N  86 31 54 W
Bloomington                     Minnesota        44 49 30 N  93 16 30 W
Bluefield                       West Virginia    37 16  0 N  81 13 23 W
Bluff                           Utah             37 17 59 N 109 34  1 W
Boca Raton                      Florida          26 21  0 N  80  5 12 W
Boca Raton                      Florida          26 21  0 N  80  5 12 W
Bodo                            Norway           67 16 11 N  14 22  0 E
Bogalusa                        Louisiana        30 48  0 N  89 52  1 W
Bogota                          Colombia          4 37 59 N  74  5 59 W
Boise City                      Oklahoma         36 42  0 N 102 30  0 W
Boise                           Idaho            43 37 59 N 116 16  1 W
Boise                           Idaho            43 37  6 N 116 11 56 W
Bologna                         Italy            44 32 16 N  11 17 23 E
Bombay                          India            18 58  0 N  72 49 59 E
Bonn                            Germany          50 43 11 N   7  4 48 E
Boone                           North Carolina   36 11 54 N  81 39 27 W
Booneville                      Kentucky         37 25  1 N  83 40  1 W
Bordeaux                        France           44 49 59 N   0 36 59 W
Bordentown                      New Jersey       40  4 58 N  74 40  1 W
Borinquen                       PR               18 30  0 N  67  7 59 W
Boscobel                        Wisconsin        43  7 58 N  90 43 58 W
Bossier City                    Louisiana        32 30  0 N  93 42  0 W
Bossier City                    Louisiana        32 31  0 N  93 43 54 W
Boston                          Massachusetts    42 21 24 N  71  3 24 W
Bottrop                         Germany          51 31 00 N    6 55 00 E
Boulder City                    Nevada           35 58 41 N 114 50 16 W
Boulder                         Colorado         40  0 47 N 105 16 48 W
Boulder Creek                   California       37  2 59 N 122  9  0 W
Bountiful                       Utah             40 53  5 N 111 52 47 W
Bowie                           Maryland         39  0 24 N  76 46 54 W
Bowling Green                   Kentucky         36 59 17 N  86 27  2 W
Bowman                          North Dakota     46 10 58 N 103 22 58 W
Bozeman                         Montana          45 40 54 N 111  2 16 W
Brandon                         Canada           49 51  0 N  99 57  0 W
Brandon                         Vermont          43 45  0 N  73  4 58 W
Brasilia                        Brazil           15 52  0 S  47 55  0 W
Brattleboro                     Vermont          42 51  6 N  72 33 47 W
Braunschweig                    Germany          52 16 00 N   10 32 00 E
Bremen                          Germany          53  2 49 N   8 47 23 E
Bremerhaven                     Germany          53 33 00 N    8 35 00 E
Bremerton                       Washington       47 34  1 N 122 37 58 W
Brest                           France           48 23 59 N   4 29 59 W
Bridgeport                      Connecticut      41 10 49 N  73 11 21 W
Bridgeport                      Connecticut      41 11 15 N  73 12 29 W
Bridgeton                       New Jersey       39 27  0 N  75 12 35 W
Bridgetown                      Barbados         13  4  0 N  59 30  0 W
Brilliant                       Ohio             40  9 35 N  80 22 47 W
Brisbane                        Australia        27 29 59 S 153 10  0 E
Bristol                         Connecticut      41 40 23 N  72 57  0 W
Bristol                         Rhode Island     41 40 58 N  71 13 58 W
Bristol                         Tennessee        36 35 35 N  82 10 36 W
Bristol                         United Kingdom   51 28 59 N   2 38 59 W
Bristol                         Vermont          44 10  1 N  73  0  0 W
Brize Norton                    United Kingdom   51 45  0 N   1 35 19 W
Brockton                        Massachusetts    42  5  2 N  71  1 24 W
Broken Arrow                    Oklahoma         36  2 59 N  95 47 42 W
Brookings                       Oregon           42  4  1 N 124 16  1 W
Brookings                       South Dakota     44 18 36 N  96 47 35 W
Brookline                       Massachusetts    42 19 54 N  71  7 18 W
Brooklyn Park                   Minnesota        45  6  0 N  93 22 30 W
Brookside Park                  Delaware         39 40 23 N  75 43 11 W
Brownsville                     Texas            25 54  6 N  97 29 57 W
Brunswick                       Georgia          31  7 58 N  81 30  0 W
Brunswick                       Maine            43 54 24 N  69 57 47 W
Brussels                        Belgium          50 51  0 N   4 20 59 E
Bucharest                       Romania          44 22 59 N  26 10  0 E
Buckeburg                       Germany          52 16 29 N   9  4 26 E
Budapest                        Hungary          47 25 58 N  19 15  0 E
Buena Park                      California       33 52 18 N 117 59 49 W
Buena Park                      California       33 52 18 N 117 59 49 W
Buenos Aires                    Argentina        34 19 59 S  58 29 59 W
Buffalo                         New York         42 52 51 N  78 52 21 W
Buffalo                         Wyoming          44 19  1 N 106 42  0 W
Burbank                         California       34 10 54 N 118 18 43 W
Burlington                      Colorado         39 16 58 N 102 25 58 W
Burlington                      Connecticut      41 46 12 N  72 59 23 W
Burlington                      Iowa             40 48 36 N  91 13 59 W
Burlington                      North Carolina   36  5 48 N  79 25 59 W
Burlington                      Vermont          44 28 42 N  73 12 46 W
Burlington                      Washington       48 28 11 N 122 27  0 W
Burns                           Oregon           43 34 58 N 119  4 58 W
Burwash                         Canada           61 19 47 N 139  0  0 W
Butte                           Montana          46  1  5 N 112 32  9 W
Butterworth                     Malaysia          5 28  0 N 100 24  0 E
Cairo                           Egypt            30  0  0 N  31 16 59 E
Calais/Dunkirk                  France           50 57 36 N   1 57  0 E
Calcutta                        India            22 31 59 N  88 22  0 E
Caldwell                        Idaho            43 39 53 N 116 41 13 W
Calgary                         Alberta          51  2 59 N 114  4 58 W
Caliente                        Nevada           37 37 58 N 114 30  0 W
Cambridge                       Maryland         38 34 12 N  76  4 41 W
Cambridge                       Massachusetts    42 22  0 N  71  6 21 W
Cambridge                       United Kingdom   52 11 23 N   0 10 12 E
Camden                          New Jersey       39 56 40 N  75  7 13 W
Canberra                        Australia        35 21  0 S 149 10  0 E
Cannes                          France           43 43 47 N   6 54  0 E
Canoga Park                     California       34 12 36 N 118 34 11 W
Canton                          China            23  7  0 N 113 15  0 E
Canton                          Ohio             40 47 49 N  81 22 36 W
Cantonsville                    Maryland         39 17 25 N  76 36 44 W
Cape Canaveral                  Florida          28 26 59 N  80 27 28 W
Cape Girardeau                  Missouri         37 18 36 N  89 31 59 W
Cape May                        New Jersey       38 55  1 N  74 49 58 W
Cape Town                       So Africa        33 47 59 S  18 28  0 E
Caracas                         Venezuela        10 30  0 N  66 57 59 W
Carbonado                       Washington       47  4 58 N 122  2 59 W
Carbondale                      Illinois         37 42  0 N  89 12  0 W
Cardiff                         Wales            51 30  0 N   3 17 59 W
Carlton                         Minnesota        46 40  1 N  92 25 58 W
Carmichael                      California       38 40  0 N 121 19 44 W
Carrizozo                       New Mexico       33 40  1 N 105 55  1 W
Carrollton                      Georgia          33 34 58 N  84  4 58 W
Carson                          California       33 48 24 N 118 16 58 W
Carson City                     Nevada           39 10  0 N 119 46  1 W
Cartersville                    Georgia          34  8 59 N  84 46 58 W
Cary                            Illinois         42 13  0 N  88 13 59 W
Casablanca                      Morocco          33 31 59 N   7 40 59 W
Casa Grande                     Arizona          32 52 48 N 111 44 52 W
Casper                          Wyoming          42 50 48 N 106 18 46 W
Castlerock                      Washington       46 16 58 N 122 52 58 W
Castries                        St. Lucia        13 43 59 N  60 57  0 W
Cave Creek                      Arizona          33 46 29 N 111 53 45 W
Cayenne                         French Guiana     4 54  0 N  52 30  0 W
Cedar City                      Utah             37 40  1 N 113 10  1 W
Cedar Falls                     Iowa             42 31 29 N  92 27  6 W
Cedar Rapids                    Iowa             41 58  0 N  91 39 52 W
Central Islip                   New York         40 47 23 N  73 12  0 W
Centreville                     Maryland         39  4 58 N  76  4 58 W
Cerritos                        California       33 50  6 N 118  4 58 W
Chagrin Falls                   Ohio             41 23 59 N  81 35 59 W
Champaign                       Illinois         40  7  4 N  88 14 48 W
Chapel Hill                     North Carolina   35 56  4 N  79  4  1 W
Charleston                      South Carolina   32 46 35 N  79 55 53 W
Charleston                      West Virginia    38 21  1 N  81 37 51 W
Charlevoix                      Canada           47 36 35 N  70 11 23 W
Charlotte                       North Carolina   35 13 44 N  80 50 44 W
Charlottesville                 Virginia         38  0  0 N  78 25  1 W
Charlottetown                   PEI              46 14 24 N  63  7 48 W
Chatham                         Canada           47  2 59 N  65 27  0 W
Chattanooga                     Tennessee        35  2 40 N  85 18 32 W
Cheju                           South Korea      33 30  0 N 126 30  0 E
Cheltenham                      Pennsylvania     40  2 59 N  75  6 35 W
Chemnitz                        Germany          50 50 00 N   12 55 00 E
Cheraw                          South Carolina   34 40  1 N  79 52  1 W
Cherbourg                       France           49 38 59 N   1 28  1 W
Cherokee                        Oklahoma         36 43 58 N  98 22  1 W
Chesapeake                      Virginia         36 49 30 N  76 16 59 W
Chester                         Connecticut      41 24 35 N  72 28 48 W
Chester                         Pennsylvania     39 51  0 N  75 22  1 W
Cheyenne                        Wyoming          41  8  8 N 104 49  8 W
Chiang Mai                      Thailand         18 45 47 N  98 58  0 E
Chibougamau                     Canada           49 53 59 N  74 22 47 W
Chicago                         Illinois         41 52 27 N  87 38 21 W
Chiclayo                        Peru              6 46 59 S  79 49 59 W
Chicopee                        Massachusetts    42  8 24 N  72 36 42 W
Chignik                         Alaska           56 13 58 N 158 11 59 W
Chillicothe                     Illinois         41 55  1 N  89 30  0 W
Chillicothe                     Missouri         39 46  1 N  93 31 58 W
Chillicothe                     Ohio             39 19 58 N  83  0  0 W
Chino                           California       34  1  1 N 117 42  0 W
Chino Hills                     California       34  1  1 N 117 42  0 W
Chinook                         Montana          48 34 58 N 109 15  0 W
Chitose                         Japan            42 47 59 N 141 40  0 E
Chittagong                      Bangladesh       22 15  0 N  91 49 59 E
Christchurch                    N Zealan         43 28 58 S 172 31 58 E
Christmas Island                Australia         1 58 59 N 157 22  1 W
