 2256 CAM 06 47 14.2 +74 14 11 8 E-S0 13.6   2.30   2.0         19602  3519        
 2257 DOR 06 30 13.0 -64 19 29 3 OCL  13.0  55.00                                       
 2258 CAM 06 47 46.5 +74 28 51 8 S0   13.0   2.30   1.5 150     19622  3523        
 2259 MON 06 38 21.4 +10 53 01 3 II2p 10.8   4.50                             
 2260 MON 06 38 03.0 -01 28 22 3 OCL                                                    
 2261 MON 06 39 09.5 +08 44 40 5 EN+R        2.00   1.0                      Hubble's Variable Nebula
 2262 MON 06 39 38.0 +01 08 37 3 I2p  11.3   3.50                             
 2263 CMA 06 38 28.8 -24 50 57 8 SBab 12.9   2.70   1.6 143     19355                   
 2264 MON 06 40 58.2 +09 53 44 3 IV3p  3.9  20.00                            Christmas Tree Cluster
 2265 GEM 06 41 41.6 +11 54 17 0 *Grp       10.0                                        
 2266 GEM 06 43 19.2 +26 58 10 3 II2m  9.5   7.00                             
 2267 CMA 06 40 51.7 -32 28 58 8 SB0  13.2   1.70   1.3  36     19417                   
 2268 CAM 07 14 17.5 +84 22 54 8 SBbc 12.2   3.30   2.0  63     20458  3653        
 2269 MON 06 43 17.0 +04 37 28 3 II2p 10.0   4.00                            
 2270 MON 06 43 57.7 +03 28 43 3 OCL                                                    
 2271 CMA 06 42 52.9 -23 28 35 8 E-S0 13.0   2.10   1.4  71     19476                   
 2272 CMA 06 42 41.2 -27 27 37 8 E-S0 12.8   2.40   1.6 123     19466                   
 2273 LYN 06 50 08.4 +60 50 43 8 SBa  12.5   3.20   2.4  50     19688  3546             
 2274 GEM 06 47 17.4 +33 34 01 8 E    13.4   2.40   2.4         19603  3541             
 2275 GEM 06 47 17.9 +33 35 55 8 Sab  14.1   1.30   0.9  20     19605  3542             
 2276 CEP 07 27 13.6 +85 45 16 8 SBc  12.0   2.40   2.2 170     21039  3740             
 2277 GEM 06 47 47.0 +33 27 00 0 *Grp                                                   
 2278 GEM 06 48 16.3 +33 23 41 0 *2                                                     
 2279 GEM 06 48 24.8 +33 24 55 0 *3                                                     
 2280 CMA 06 44 48.9 -27 38 22 8 Sc   11.2   6.60   3.2 163     19531                   
 2281 AUR 06 48 17.8 +41 04 44 3 I3p   5.4  15.00                             
 2282 MON 06 46 51.2 +01 18 54 5 EN          3.00                                       
 2283 CMA 06 45 52.6 -18 12 39 8 SBc  12.9   3.60   2.7   2     19562                   
 2284 GEM 06 49 09.5 +33 11 38 0 *4                                                     
 2285 GEM 06 49 36.0 +33 21 53 0 *2                                                     
 2286 MON 06 47 40.1 -03 08 52 3 IV3m  7.5  15.00                             
 2287 CMA 06 45 59.9 -20 45 15 3 II3m  4.5  38.00            41                       
 2288 GEM 06 50 52.0 +33 27 42 8 E    15.3   0.20   0.2         19714                   
 2289 GEM 06 50 53.6 +33 28 43 8 S0   14.5   1.10   0.6 125     19716  3560             
 2290 GEM 06 50 56.9 +33 26 15 8 Sa   14.2   1.20   0.7  50     19718  3562             
 2291 GEM 06 50 58.6 +33 31 30 8 S0   14.2   1.00   1.0         19719                   
 2292 CMA 06 47 39.4 -26 44 49 8 SB0  11.8   4.00   3.5   1     19617                   
