"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"111972","SN 2022oru","22:30:13.613","-10:30:19.22","SN Ia","0.035368","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS; ZTF","ZTF22aasvuof","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","18.7564","r-ZTF","2022-07-12 09:04:57.216","ZTF_CLU_PUBLIC","","2022TNSTR1958....1D","2022TNSCR2010....1D",""
"111969","SN 2022orr","15:50:58.260","+68:35:07.84","SN Ia","0.046","","","ATLAS, GaiaAlerts, Pan-STARRS","ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS","ATLAS22txt","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, PS2 - GPC2","P60 - SEDM","1","1","","17.462","orange-ATLAS","2022-07-11 08:56:03.264","ATLAS_Bot1","","2022TNSTR1944....1T","2022TNSCR1961....1C",""
"111937","SN 2022oqm","15:09:08.211","+52:32:05.14","SN Ic-pec","0.012","NGC 5875","0.0113","ZTF, ATLAS, YSE","ZTF, ATLAS, Pan-STARRS","ZTF, None, QUB","ATLAS; Pan-STARRS; YSE; ZTF","","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam, PS2 - GPC2","NOT - ALFOSC, Other - Other, P60 - SEDM, UH88 - SNIFS","1","1","","17.3228","g-ZTF","2022-07-11 04:33:36.000","Zimmerman","","2022TNSTR1948....1S","2022TNSCR1951....1Z, 2022TNSCR2131....1P, 2022TNSCR2126....1L, 2022TNSCR2169....1F",""
"111932","SN 2022oqh","01:37:48.347","+15:38:13.28","SN Ia","0.078","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS","ATLAS22twu","ATLAS-HKO - ATLAS-02, PS2 - GPC2","P60 - SEDM","1","1","","18.875","orange-ATLAS","2022-07-10 14:01:58.944","ATLAS_Bot1","","2022TNSTR1938....1T","2022TNSCR1970....1S",""
"111931","SN 2022oqg","20:34:38.253","+11:26:46.00","SN Ia","0.08","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS22twp","ATLAS-MLO - ATLAS-01, ATLAS-STH - ATLAS-03","UH88 - SNIFS","1","1","","18.766","orange-ATLAS","2022-07-10 10:30:52.704","ATLAS_Bot1","","2022TNSTR1938....1T","2022TNSCR1949....1D",""
"111928","SN 2022oqd","03:36:47.740","+41:42:41.94","SN Ia","0.073","","","ANTARES, GaiaAlerts, ATLAS","ZTF, GaiaAlerts, ATLAS","ZTF","ANTARES; ATLAS; GaiaAlerts","ZTF22aaryrrl","ATLAS-MLO - ATLAS-01, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.8038","g-ZTF","2022-07-10 11:25:21.216","ANTARES_bot","","2022TNSTR1937....1A","2022TNSCR1990....1S",""
"111888","SN 2022ooq","01:03:34.102","-00:21:18.39","SN Ia","0.056","","","ATLAS, ALeRCE","ATLAS, ZTF","ZTF","ALeRCE; ATLAS","ATLAS22tfi","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.738","cyan-ATLAS","2022-07-08 14:14:03.840","ATLAS_Bot1","","2022TNSTR1928....1T","2022TNSCR1962....1S",""
"111886","SN 2022ooo","18:13:56.288","+64:35:03.99","SN Ia","0.08","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","SCAT","ATLAS; Pan-STARRS","ATLAS22tfc","ATLAS-MLO - ATLAS-01, PS1 - GPC1, PS2 - GPC2","UH88 - SNIFS","1","1","","18.749","orange-ATLAS","2022-07-05 09:11:34.656","ATLAS_Bot1","","2022TNSTR1928....1T","2022TNSCR1941....1H",""
"111885","SN 2022oon","22:17:24.744","+26:02:26.30","SN Ia","0.088","","","ATLAS","ATLAS","SCAT","ATLAS","ATLAS22tfa","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","UH88 - SNIFS","1","1","","18.952","cyan-ATLAS","2022-07-06 11:18:49.824","ATLAS_Bot1","","2022TNSTR1928....1T","2022TNSCR2032....1T",""
"111880","SN 2022ooi","01:41:41.246","+01:26:00.95","SN Ia","0.057","","","ATLAS, ALeRCE","ATLAS, ZTF","ZTF","ALeRCE; ATLAS","ATLAS22tek","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.768","cyan-ATLAS","2022-07-08 14:12:46.080","ATLAS_Bot1","","2022TNSTR1928....1T","2022TNSCR2117....1P",""
"111879","SN 2022ooh","01:53:14.700","-13:44:29.80","SN II","0.035","","","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ATLAS, ZTF, GaiaAlerts, Pan-STARRS","ZTF","ATLAS; GaiaAlerts; Pan-STARRS; ZTF","ATLAS22tdf","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.22","cyan-ATLAS","2022-07-08 14:17:19.104","ATLAS_Bot1","","2022TNSTR1917....1T","2022TNSCR2228....1S",""
